id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
api-cookie-c9e75885,api,2,cookie,pipe_desafio,,apps/api/src/controladores/entrar.ts:47,11,no,,D-12,candidate,,Short-lived or session cookie at apps/api/src/controladores/entrar.ts:47; cutover rename
api-dir-f9884b83,api,2,dir,apps/api/src/controladores,,apps/api/src/controladores,0,no,,,candidate,,
api-dir-450156ea,api,2,dir,apps/api/src/dominio/desk,,apps/api/src/dominio/desk,0,no,,,candidate,,
api-dir-2cbd4c3f,api,2,dir,apps/api/src/dominio/gestao/acoes,,apps/api/src/dominio/gestao/acoes,0,no,,,candidate,,
api-dir-8301da3d,api,2,dir,apps/api/src/dominio/gestao,,apps/api/src/dominio/gestao,0,no,,,candidate,,
api-dir-f56e8137,api,2,dir,apps/api/src/dominio/instagram,,apps/api/src/dominio/instagram,0,no,,,candidate,,
api-dir-816a5cb6,api,2,dir,apps/api/src/dominio/messenger,,apps/api/src/dominio/messenger,0,no,,,candidate,,
api-dir-3eb5edfe,api,2,dir,apps/api/src/dominio/whatsapp,,apps/api/src/dominio/whatsapp,0,no,,,candidate,,
api-dir-57237a6b,api,2,dir,apps/api/src/dominio,,apps/api/src/dominio,0,no,,,candidate,,
api-endpoint-01ed76ae,api,2,endpoint,/v1/anexos/:*,,apps/api/src/controladores/anexos.ts:60,0,no,,,candidate,,
api-endpoint-995c5c86,api,2,endpoint,/v1/anexos,,apps/api/src/controladores/anexos.ts:26,0,no,,,candidate,,
api-endpoint-8f2629c0,api,2,endpoint,/v1/atendentes/status,,apps/api/src/controladores/catalogo.ts:339,0,no,,,candidate,,
api-endpoint-5a5a239f,api,2,endpoint,/v1/atendentes,,apps/api/src/controladores/catalogo.ts:367,0,no,,,candidate,,
api-endpoint-9cf633b2,api,2,endpoint,/v1/auth/google/retorno,,apps/api/src/controladores/entrar.ts:289,0,no,,,candidate,,
api-endpoint-8ba1b1ba,api,2,endpoint,/v1/auth/sso/retorno,,apps/api/src/controladores/sso.ts:136,0,no,,,candidate,,
api-endpoint-42150d17,api,2,endpoint,/v1/canais/instagram/:*,,apps/api/src/controladores/canais-instagram.ts:48,0,no,,,candidate,,
api-endpoint-331072cc,api,2,endpoint,/v1/canais/instagram/manual,,apps/api/src/controladores/canais-instagram.ts:27,0,no,,,candidate,,
api-endpoint-01c8fefe,api,2,endpoint,/v1/canais/instagram,,apps/api/src/controladores/canais-instagram.ts:18,0,no,,,candidate,,
api-endpoint-da334a1a,api,2,endpoint,/v1/canais/messenger/:*,,apps/api/src/controladores/canais-messenger.ts:8,0,no,,,candidate,,
api-endpoint-e89ee23a,api,2,endpoint,/v1/canais/messenger/manual,,apps/api/src/controladores/canais-messenger.ts:7,0,no,,,candidate,,
api-endpoint-8da1c9c3,api,2,endpoint,/v1/canais/messenger,,apps/api/src/controladores/canais-messenger.ts:6,0,no,,,candidate,,
api-endpoint-9469049b,api,2,endpoint,/v1/canais/whatsapp/:*/modelos/:*,,apps/api/src/controladores/canais.ts:250,0,no,,,candidate,,
api-endpoint-880d8f34,api,2,endpoint,/v1/canais/whatsapp/:*/modelos/sincronizar,,apps/api/src/controladores/canais.ts:223,0,no,,,candidate,,
api-endpoint-fea7c85c,api,2,endpoint,/v1/canais/whatsapp/:*/modelos,,apps/api/src/controladores/canais.ts:236,0,no,,,candidate,,
api-endpoint-326cf791,api,2,endpoint,/v1/canais/whatsapp/:*/perfil,,apps/api/src/controladores/canais.ts:178,0,no,,,candidate,,
api-endpoint-b8b0c82c,api,2,endpoint,/v1/canais/whatsapp/:*/perfil,,apps/api/src/controladores/canais.ts:186,0,no,,,candidate,,
api-endpoint-bddd711a,api,2,endpoint,/v1/canais/whatsapp/:*/preferencias,,apps/api/src/controladores/canais.ts:199,0,no,,,candidate,,
