id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
crm-cookie-c60f36ce,crm,3,cookie,pipe_sessao,pipe_session,apps/crm/src/lib/sessao.ts:48,29,no,,D-38,proposed,codex2,cookie rename per D-38; accepted logout at deploy
crm-dir-153faccf,crm,3,dir,apps/crm/src/app/configuracoes/papeis,apps/crm/src/app/settings/roles,apps/crm/src/app/configuracoes/papeis,0,no,,,proposed,codex2,
crm-dir-15f590a7,crm,3,dir,apps/crm/src/app/configuracoes/faixas,apps/crm/src/app/settings/tiers,apps/crm/src/app/configuracoes/faixas,0,no,,,proposed,codex2,
crm-dir-1be7d6a6,crm,3,dir,apps/crm/src/app/configuracoes/espaco,apps/crm/src/app/settings/workspace,apps/crm/src/app/configuracoes/espaco,0,no,,,proposed,codex2,
crm-dir-31a0cb70,crm,3,dir,apps/crm/src/app/oportunidades/[id],apps/crm/src/app/opportunities/[id],apps/crm/src/app/oportunidades/[id],0,no,,,proposed,codex2,
crm-dir-31c98a40,crm,3,dir,apps/crm/src/app/configuracoes,apps/crm/src/app/settings,apps/crm/src/app/configuracoes,0,no,,,proposed,codex2,
crm-dir-383b1209,crm,3,dir,apps/crm/src/app/configuracoes/papeis/[id],apps/crm/src/app/settings/roles/[id],apps/crm/src/app/configuracoes/papeis/[id],0,no,,,proposed,codex2,
crm-dir-52db9eba,crm,3,dir,apps/crm/src/app/configuracoes/membros,apps/crm/src/app/settings/members,apps/crm/src/app/configuracoes/membros,0,no,,,proposed,codex2,
crm-dir-55efeeb8,crm,3,dir,apps/crm/src/app/contas,apps/crm/src/app/accounts,apps/crm/src/app/contas,0,no,,,proposed,codex2,
crm-dir-5def0c9b,crm,3,dir,apps/crm/src/app/contatos/[id],apps/crm/src/app/contacts/[id],apps/crm/src/app/contatos/[id],0,no,,,proposed,codex2,
crm-dir-6dbafdb0,crm,3,dir,apps/crm/src/app/contas/[id],apps/crm/src/app/accounts/[id],apps/crm/src/app/contas/[id],0,no,,,proposed,codex2,
crm-dir-8ab72315,crm,3,dir,apps/crm/src/app/configuracoes/campos,apps/crm/src/app/settings/fields,apps/crm/src/app/configuracoes/campos,0,no,,,proposed,codex2,
crm-dir-8bef5370,crm,3,dir,apps/crm/src/app/oportunidades,apps/crm/src/app/opportunities,apps/crm/src/app/oportunidades,0,no,,,proposed,codex2,
crm-dir-8f29e313,crm,3,dir,apps/crm/src/app/configuracoes/regras-de-score,apps/crm/src/app/settings/score-rules,apps/crm/src/app/configuracoes/regras-de-score,0,no,,,proposed,codex2,
crm-dir-9e1f990c,crm,3,dir,apps/crm/src/app/configuracoes/perfil,apps/crm/src/app/settings/profile,apps/crm/src/app/configuracoes/perfil,0,no,,,proposed,codex2,
crm-dir-a1e20795,crm,3,dir,apps/crm/src/componentes,apps/crm/src/components,apps/crm/src/componentes,0,no,,,proposed,codex2,
crm-dir-a4f85cbf,crm,3,dir,apps/crm/src/app/contatos,apps/crm/src/app/contacts,apps/crm/src/app/contatos,0,no,,,proposed,codex2,
crm-dir-a4fdf59f,crm,3,dir,apps/crm/src/app/entrar,apps/crm/src/app/login,apps/crm/src/app/entrar,0,no,,,proposed,codex2,
crm-dir-a7a3d892,crm,3,dir,apps/crm/src/app/configuracoes/api,apps/crm/src/app/settings/api,apps/crm/src/app/configuracoes/api,0,no,,,proposed,codex2,
crm-dir-ba591664,crm,3,dir,apps/crm/src/app/convite,apps/crm/src/app/invite,apps/crm/src/app/convite,0,no,,,proposed,codex2,
crm-dir-c240f0c1,crm,3,dir,apps/crm/semente,apps/crm/seed,apps/crm/semente,0,no,,,proposed,codex2,
crm-dir-c4f7e19a,crm,3,dir,apps/crm/src/app/convite/[token],apps/crm/src/app/invite/[token],apps/crm/src/app/convite/[token],0,no,,,proposed,codex2,
