id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
css-css-class-1e5b0e97,css,3,css-class,acoes-em-lote,actions-in-batch,apps/gestao-vite/src/estilos/globais.css:2656,1,no,,,approved,codex1,
css-css-class-b90a8313,css,3,css-class,acoes-erro,actions-error,apps/crm/src/app/globais.css:764,7,no,,,approved,codex1,
css-css-class-20b79978,css,3,css-class,an-aba--ativa,an-tab--active,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:128,1,no,,,approved,codex1,
css-css-class-1a56ee36,css,3,css-class,an-aba--ativa,an-tab--active,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:144,1,no,,,approved,codex1,
css-css-class-7ad52786,css,3,css-class,an-aba--ativa,an-tab--active,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:161,1,no,,,approved,codex1,
css-css-class-d81f4a38,css,3,css-class,an-acoes,an-actions,apps/gestao-vite/src/paginas/fluxo/growth/growth.css:890,1,no,,,approved,codex1,
css-css-class-cd35750d,css,3,css-class,an-acoes,an-actions,apps/gestao-vite/src/paginas/fluxo/growth/growth.css:918,1,no,,,approved,codex1,
css-css-class-9361da30,css,3,css-class,an-cabecalho-secao,an-header-section,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:201,1,no,,,approved,codex1,
css-css-class-b01739b5,css,3,css-class,an-ilustracao,an-illustration,apps/gestao-vite/src/paginas/fluxo/growth/growth.css:869,1,no,,,approved,codex1,
css-css-class-a1867e6b,css,3,css-class,an-painel--dashboard,an-panel--dashboard,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:190,1,no,,,approved,codex1,"glossary-exception:painel-application (CSS panel component, not the module/route sense)"
css-css-class-959dd4c9,css,3,css-class,an-painel,an-panel,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:186,2,no,,,approved,codex1,"glossary-exception:painel-application (CSS panel component, not the module/route sense)"
css-css-class-eeb8077c,css,3,css-class,an-periodo-aplicar,an-period-apply,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:470,1,no,,,approved,codex1,
css-css-class-b82f6f5f,css,3,css-class,an-periodo-aplicar,an-period-apply,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:490,1,no,,,approved,codex1,
css-css-class-9e99fcae,css,3,css-class,an-periodo-botoes,an-period-buttons,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:463,1,no,,,approved,codex1,
css-css-class-5efd14c7,css,3,css-class,an-periodo-calendarios,an-period-calendars,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:451,1,no,,,approved,codex1,
css-css-class-c98f4930,css,3,css-class,an-periodo-calendarios,an-period-calendars,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:457,1,no,,,approved,codex1,
css-css-class-56022fc7,css,3,css-class,an-periodo-campos,an-period-fields,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:397,1,no,,,approved,codex1,
css-css-class-3db5ef2f,css,3,css-class,an-periodo-campos,an-period-fields,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:410,1,no,,,approved,codex1,
css-css-class-5db4827e,css,3,css-class,an-periodo-campos,an-period-fields,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:411,1,no,,,approved,codex1,
css-css-class-867c6ff4,css,3,css-class,an-periodo-cancelar,an-period-cancel,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:469,1,no,,,approved,codex1,
css-css-class-89e4a1ed,css,3,css-class,an-periodo-cancelar,an-period-cancel,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:485,1,no,,,approved,codex1,
css-css-class-f3b59c76,css,3,css-class,an-periodo-data,an-period-data,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:426,2,no,,,approved,codex1,
css-css-class-51649f93,css,3,css-class,an-periodo-icone,an-period-icon,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:415,1,no,,,approved,codex1,
css-css-class-709578b7,css,3,css-class,an-periodo-painel,an-period-panel,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:440,1,no,,,approved,codex1,"glossary-exception:painel-application (CSS panel component, not the module/route sense)"
css-css-class-2e53965e,css,3,css-class,an-periodo,an-period,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:383,1,no,,,approved,codex1,
css-css-class-65b47445,css,3,css-class,an-periodo,an-period,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:388,1,no,,,approved,codex1,
css-css-class-1691e863,css,3,css-class,an-periodo,an-period,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:393,1,no,,,approved,codex1,
css-css-class-033a3cad,css,3,css-class,an-periodo,an-period,apps/gestao-vite/src/paginas/fluxo/analise/analise.css:411,1,no,,,approved,codex1,
css-css-class-7d1afa3d,css,3,css-class,at-casca,at-shell,apps/gestao-vite/src/paginas/operacao/atendimento.css:19,1,no,,,approved,codex1,
css-css-class-1a352a96,css,3,css-class,at-casca,at-shell,apps/gestao-vite/src/paginas/operacao/atendimento.css:295,1,no,,,approved,codex1,
css-css-class-359fb169,css,3,css-class,at-casca,at-shell,apps/gestao-vite/src/paginas/operacao/atendimento.css:35,1,no,,,approved,codex1,
css-css-class-981db862,css,3,css-class,at-casca,at-shell,apps/gestao-vite/src/paginas/operacao/atendimento.css:47,1,no,,,approved,codex1,
css-css-class-6d8155f2,css,3,css-class,at-filtro-gatilho,at-filter-trigger,apps/gestao-vite/src/paginas/operacao/atendimento.css:175,4,no,,,approved,codex1,
css-css-class-deca0b36,css,3,css-class,at-filtro-gatilho,at-filter-trigger,apps/gestao-vite/src/paginas/operacao/atendimento.css:189,4,no,,,approved,codex1,
css-css-class-f05f2108,css,3,css-class,at-filtro-gatilho,at-filter-trigger,apps/gestao-vite/src/paginas/operacao/atendimento.css:191,4,no,,,approved,codex1,
css-css-class-eec47431,css,3,css-class,at-filtro-gatilho,at-filter-trigger,apps/gestao-vite/src/paginas/operacao/atendimento.css:193,4,no,,,approved,codex1,
css-css-class-07f49e88,css,3,css-class,at-filtro-gatilho,at-filter-trigger,apps/gestao-vite/src/paginas/operacao/atendimento.css:195,4,no,,,approved,codex1,
