id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
desk-vite-dir-037e581e,desk-vite,3,dir,apps/desk-vite/src/contexto,apps/desk-vite/src/context,apps/desk-vite/src/contexto,0,no,,,approved,codex2,
desk-vite-dir-2c2b461d,desk-vite,3,dir,apps/desk-vite/src/paginas/contatos,apps/desk-vite/src/pages/contacts,apps/desk-vite/src/paginas/contatos,0,no,,,approved,codex2,
desk-vite-dir-2ecd5f17,desk-vite,3,dir,apps/desk-vite/src/paginas/acoes-em-massa,apps/desk-vite/src/pages/bulk-actions,apps/desk-vite/src/paginas/acoes-em-massa,0,no,,,approved,codex2,
desk-vite-dir-59d43b35,desk-vite,3,dir,apps/desk-vite/src/paginas,apps/desk-vite/src/pages,apps/desk-vite/src/paginas,0,no,,,approved,codex2,
desk-vite-dir-6bf04f3d,desk-vite,3,dir,apps/desk-vite/src/paginas/analytics,apps/desk-vite/src/pages/analytics,apps/desk-vite/src/paginas/analytics,0,no,,,approved,codex2,
desk-vite-dir-7934fa30,desk-vite,3,dir,apps/desk-vite/src/paginas/atendimentos,apps/desk-vite/src/pages/attendances,apps/desk-vite/src/paginas/atendimentos,0,no,,,approved,codex2,
desk-vite-dir-824a393e,desk-vite,3,dir,apps/desk-vite/src/paginas/mensagem-ativa,apps/desk-vite/src/pages/active-message,apps/desk-vite/src/paginas/mensagem-ativa,0,no,,,approved,codex2,
desk-vite-dir-cdb5722a,desk-vite,3,dir,apps/desk-vite/src/componentes,apps/desk-vite/src/components,apps/desk-vite/src/componentes,0,no,,,approved,codex2,
desk-vite-dir-fdd76c9a,desk-vite,3,dir,apps/desk-vite/src/paginas/preferencias,apps/desk-vite/src/pages/preferences,apps/desk-vite/src/paginas/preferencias,0,no,,,approved,codex2,
desk-vite-file-097faa66,desk-vite,3,file,modelo.ts,apps/desk-vite/src/lib/template.ts,apps/desk-vite/src/lib/modelo.ts,10,no,,,approved,codex2,
desk-vite-file-0aaf6ecb,desk-vite,3,file,compositor.tsx,apps/desk-vite/src/pages/attendances/composer.tsx,apps/desk-vite/src/paginas/atendimentos/compositor.tsx,0,no,,,approved,codex2,
desk-vite-file-181884ac,desk-vite,3,file,intervalo-entrega.ts,apps/desk-vite/src/lib/delivery-interval.ts,apps/desk-vite/src/lib/intervalo-entrega.ts,0,no,,,approved,codex2,"fix(01-12): missing lexicon word (limite/diario/intervalo), was apps/desk-vite/src/lib/intervalo-delivery.ts"
desk-vite-file-1b7de8e1,desk-vite,3,file,globais.css,apps/desk-vite/src/estilos/global.css,apps/desk-vite/src/estilos/globais.css,22,no,,,approved,codex2,
desk-vite-file-1d437198,desk-vite,3,file,convite.tsx,apps/desk-vite/src/pages/invitation.tsx,apps/desk-vite/src/paginas/convite.tsx,0,no,,,approved,codex2,
desk-vite-file-1e6e554d,desk-vite,3,file,coluna.tsx,apps/desk-vite/src/pages/attendances/column.tsx,apps/desk-vite/src/paginas/atendimentos/coluna.tsx,0,no,,,approved,codex2,
desk-vite-file-285b164e,desk-vite,3,file,entrar.tsx,apps/desk-vite/src/pages/login.tsx,apps/desk-vite/src/paginas/entrar.tsx,3,no,,,approved,codex2,
desk-vite-file-2df40b99,desk-vite,3,file,trilho.tsx,apps/desk-vite/src/components/rail.tsx,apps/desk-vite/src/componentes/trilho.tsx,6,no,,,approved,codex2,
desk-vite-file-37b75106,desk-vite,3,file,preferencias.ts,apps/desk-vite/src/lib/preferences.ts,apps/desk-vite/src/lib/preferencias.ts,3,no,,,approved,codex2,
desk-vite-file-451326ac,desk-vite,3,file,acoes.ts,apps/desk-vite/src/lib/actions.ts,apps/desk-vite/src/lib/acoes.ts,39,no,,,approved,codex2,
desk-vite-file-682cef3c,desk-vite,3,file,ordem.ts,apps/desk-vite/src/lib/order.ts,apps/desk-vite/src/lib/ordem.ts,1,no,,,approved,codex2,
desk-vite-file-706ffd93,desk-vite,3,file,canal.ts,apps/desk-vite/src/lib/channel.ts,apps/desk-vite/src/lib/canal.ts,3,no,,,approved,codex2,
desk-vite-file-71f5f855,desk-vite,3,file,ordem.test.ts,apps/desk-vite/tests/order.test.ts,apps/desk-vite/tests/ordem.test.ts,0,no,,,approved,codex2,
desk-vite-file-74e68ba4,desk-vite,3,file,consulta.ts,apps/desk-vite/src/lib/query.ts,apps/desk-vite/src/lib/consulta.ts,6,no,,,approved,codex2,
desk-vite-file-7abbee0c,desk-vite,3,file,grupos.test.ts,apps/desk-vite/tests/groups.test.ts,apps/desk-vite/tests/grupos.test.ts,0,no,,,approved,codex2,
desk-vite-file-7c780fa3,desk-vite,3,file,casca.tsx,apps/desk-vite/src/components/shell.tsx,apps/desk-vite/src/componentes/casca.tsx,16,no,,,approved,codex2,
desk-vite-file-88762cb2,desk-vite,3,file,formato.test.ts,apps/desk-vite/tests/format.test.ts,apps/desk-vite/tests/formato.test.ts,0,no,,,approved,codex2,
desk-vite-file-8a400bf2,desk-vite,3,file,periodo.test.ts,apps/desk-vite/tests/period.test.ts,apps/desk-vite/tests/periodo.test.ts,0,no,,,approved,codex2,
desk-vite-file-8cec7761,desk-vite,3,file,grupos.ts,apps/desk-vite/src/lib/groups.ts,apps/desk-vite/src/lib/grupos.ts,0,no,,,approved,codex2,
desk-vite-file-8eb40c8c,desk-vite,3,file,anexos.ts,apps/desk-vite/src/lib/attachments.ts,apps/desk-vite/src/lib/anexos.ts,6,no,,,approved,codex2,
desk-vite-file-9f0f2c0f,desk-vite,3,file,intervalo-entrega.test.ts,apps/desk-vite/tests/delivery-interval.test.ts,apps/desk-vite/tests/intervalo-entrega.test.ts,0,no,,,approved,codex2,"fix(01-12): missing lexicon word (limite/diario/intervalo), was apps/desk-vite/tests/intervalo-delivery.test.ts"
desk-vite-file-a5de71fb,desk-vite,3,file,painel.tsx,apps/desk-vite/src/pages/attendances/panel.tsx,apps/desk-vite/src/paginas/atendimentos/painel.tsx,5,no,,,approved,codex2,
desk-vite-file-a65628f4,desk-vite,3,file,entrada.ts,apps/desk-vite/src/lib/inbound.ts,apps/desk-vite/src/lib/entrada.ts,18,no,,,approved,codex2,
desk-vite-file-adbe0070,desk-vite,3,file,sessao.tsx,apps/desk-vite/src/context/session.tsx,apps/desk-vite/src/contexto/sessao.tsx,0,no,,,approved,codex2,
desk-vite-file-b4e31037,desk-vite,3,file,cartao.tsx,apps/desk-vite/src/pages/attendances/card.tsx,apps/desk-vite/src/paginas/atendimentos/cartao.tsx,0,no,,,approved,codex2,
desk-vite-file-c0bc39ac,desk-vite,3,file,periodo.ts,apps/desk-vite/src/lib/period.ts,apps/desk-vite/src/lib/periodo.ts,1,no,,,approved,codex2,
desk-vite-file-ca855df1,desk-vite,3,file,formato.ts,apps/desk-vite/src/lib/format.ts,apps/desk-vite/src/lib/formato.ts,3,no,,,approved,codex2,
