id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
gestao-vite-app-b050866f,gestao-vite,4,app,gestao-vite,,apps/gestao-vite,0,no,,,candidate,,
gestao-vite-dir-1413aa14,gestao-vite,3,dir,apps/gestao-vite/public/fonts,,apps/gestao-vite/public/fonts,0,no,,,candidate,,
gestao-vite-dir-993930a0,gestao-vite,3,dir,apps/gestao-vite/public/pipe,,apps/gestao-vite/public/pipe,0,no,,,candidate,,
gestao-vite-dir-0d5e93e4,gestao-vite,3,dir,apps/gestao-vite/public,,apps/gestao-vite/public,0,no,,,candidate,,
gestao-vite-dir-d4c0bb49,gestao-vite,3,dir,apps/gestao-vite/src/componentes,,apps/gestao-vite/src/componentes,0,no,,,candidate,,
gestao-vite-dir-4ba3c37e,gestao-vite,3,dir,apps/gestao-vite/src/contexto,,apps/gestao-vite/src/contexto,0,no,,,candidate,,
gestao-vite-dir-07fd29ba,gestao-vite,3,dir,apps/gestao-vite/src/estilos,,apps/gestao-vite/src/estilos,0,no,,,candidate,,
gestao-vite-dir-3779faaf,gestao-vite,3,dir,apps/gestao-vite/src/lib,,apps/gestao-vite/src/lib,0,no,,,candidate,,
gestao-vite-dir-25b3e834,gestao-vite,3,dir,apps/gestao-vite/src/paginas/bem-vindo,,apps/gestao-vite/src/paginas/bem-vindo,0,no,,,candidate,,
gestao-vite-dir-002f7a37,gestao-vite,3,dir,apps/gestao-vite/src/paginas/builder,,apps/gestao-vite/src/paginas/builder,0,no,,,candidate,,
gestao-vite-dir-95e399c4,gestao-vite,3,dir,apps/gestao-vite/src/paginas/cadastros,,apps/gestao-vite/src/paginas/cadastros,0,no,,,candidate,,
gestao-vite-dir-ab016eb3,gestao-vite,3,dir,apps/gestao-vite/src/paginas/contrato/certificados,,apps/gestao-vite/src/paginas/contrato/certificados,0,no,,,candidate,,
gestao-vite-dir-69240cf8,gestao-vite,3,dir,apps/gestao-vite/src/paginas/contrato/membros,,apps/gestao-vite/src/paginas/contrato/membros,0,no,,,candidate,,
gestao-vite-dir-6004aa3c,gestao-vite,3,dir,apps/gestao-vite/src/paginas/contrato,,apps/gestao-vite/src/paginas/contrato,0,no,,,candidate,,
gestao-vite-dir-0f6bb74f,gestao-vite,3,dir,apps/gestao-vite/src/paginas/convite,,apps/gestao-vite/src/paginas/convite,0,no,,,candidate,,
gestao-vite-dir-9b3f632a,gestao-vite,3,dir,apps/gestao-vite/src/paginas/criar/fluxo,,apps/gestao-vite/src/paginas/criar/fluxo,0,no,,,candidate,,
gestao-vite-dir-4454db78,gestao-vite,3,dir,apps/gestao-vite/src/paginas/criar/roteador,,apps/gestao-vite/src/paginas/criar/roteador,0,no,,,candidate,,
gestao-vite-dir-292f95a0,gestao-vite,3,dir,apps/gestao-vite/src/paginas/criar,,apps/gestao-vite/src/paginas/criar,0,no,,,candidate,,
gestao-vite-dir-1664b86d,gestao-vite,3,dir,apps/gestao-vite/src/paginas/fluxo/analise/dashboard,,apps/gestao-vite/src/paginas/fluxo/analise/dashboard,0,no,,,candidate,,
gestao-vite-dir-cb025cab,gestao-vite,3,dir,apps/gestao-vite/src/paginas/fluxo/analise/dicionario-de-dados,,apps/gestao-vite/src/paginas/fluxo/analise/dicionario-de-dados,0,no,,,candidate,,
gestao-vite-dir-e5c9818b,gestao-vite,3,dir,apps/gestao-vite/src/paginas/fluxo/analise/gerenciador-de-relatorios,,apps/gestao-vite/src/paginas/fluxo/analise/gerenciador-de-relatorios,0,no,,,candidate,,
gestao-vite-dir-39275f7a,gestao-vite,3,dir,apps/gestao-vite/src/paginas/fluxo/analise/jornada,,apps/gestao-vite/src/paginas/fluxo/analise/jornada,0,no,,,candidate,,
gestao-vite-dir-342e813a,gestao-vite,3,dir,apps/gestao-vite/src/paginas/fluxo/analise/mensagens-ativas,,apps/gestao-vite/src/paginas/fluxo/analise/mensagens-ativas,0,no,,,candidate,,
