id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
infra-dir-9dcefdba,infra,4,dir,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o,,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o,0,no,,,candidate,,
infra-dir-d0b72e6c,infra,4,dir,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o/std,,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o/std,0,no,,,candidate,,
infra-dir-6175a149,infra,4,dir,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o/std/prompts,,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o/std/prompts,0,no,,,candidate,,
infra-dir-0848ac73,infra,4,dir,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o/std/reports,,.planning/phases/01-padronizar-linguagem-t-cnica-navega-o-e-renderiza-o/std/reports,0,no,,,candidate,,
infra-dir-c9d9d42b,infra,4,dir,infra/compose/segredos,,infra/compose/segredos,0,no,,,candidate,,
infra-dir-3e9f3b91,infra,4,dir,infra/k8s/valores,,infra/k8s/valores,0,no,,,candidate,,
infra-dir-505d6b11,infra,4,dir,infra/observabilidade,,infra/observabilidade,0,no,,,candidate,,
infra-dir-33119301,infra,4,dir,infra/terraform/ambientes/homologacao,,infra/terraform/ambientes/homologacao,0,no,,,candidate,,
infra-dir-42f78476,infra,4,dir,infra/terraform/ambientes/producao,,infra/terraform/ambientes/producao,0,no,,,candidate,,
infra-dir-b5323114,infra,4,dir,tools/std/fixtures/mini/packages/core/src/metricas,,tools/std/fixtures/mini/packages/core/src/metricas,0,no,,,candidate,,
infra-file-2241351b,infra,4,file,10-papel-app.sh,,infra/compose/postgres/init/10-papel-app.sh,3,no,,,candidate,,
infra-file-1d0d55e0,infra,4,file,2026-09-05-metricas-atendimento-1598d1d3.json,,.planning/intel/classifications/2026-09-05-metricas-atendimento-1598d1d3.json,0,no,,,candidate,,
infra-file-e45b95e3,infra,4,file,2026-09-05-metricas-atendimento.md,,docs/specs/2026-09-05-metricas-atendimento.md,7,no,,,candidate,,
infra-file-cda98bba,infra,4,file,2026-09-05-modelo-de-dados-07c88b43.json,,.planning/intel/classifications/2026-09-05-modelo-de-dados-07c88b43.json,0,no,,,candidate,,
infra-file-b1824c80,infra,4,file,2026-09-05-modelo-de-dados.md,,docs/specs/2026-09-05-modelo-de-dados.md,4,no,,,candidate,,
infra-file-c9e06c80,infra,4,file,2026-09-06-mensagem-ativa-e-janelas-21cba072.json,,.planning/intel/classifications/2026-09-06-mensagem-ativa-e-janelas-21cba072.json,0,no,,,candidate,,
infra-file-55e9690b,infra,4,file,2026-09-06-mensagem-ativa-e-janelas.md,,docs/specs/2026-09-06-mensagem-ativa-e-janelas.md,2,no,,,candidate,,
infra-file-a557ee67,infra,4,file,2026-09-07-implantacao-e96615ce.json,,.planning/intel/classifications/2026-09-07-implantacao-e96615ce.json,0,no,,,candidate,,
infra-file-71a2c538,infra,4,file,2026-09-07-implantacao.md,,docs/specs/2026-09-07-implantacao.md,6,no,,,candidate,,
infra-file-6efd6053,infra,4,file,2026-09-07-integracao-twenty-f0e6c294.json,,.planning/intel/classifications/2026-09-07-integracao-twenty-f0e6c294.json,0,no,,,candidate,,
infra-file-ceb6082a,infra,4,file,2026-09-07-integracao-twenty.md,,docs/specs/2026-09-07-integracao-twenty.md,12,no,,,candidate,,
infra-file-94ca2b97,infra,4,file,2026-09-07-storage-de-anexos-32365431.json,,.planning/intel/classifications/2026-09-07-storage-de-anexos-32365431.json,0,no,,,candidate,,
infra-file-7166b75c,infra,4,file,2026-09-07-storage-de-anexos.md,,docs/specs/2026-09-07-storage-de-anexos.md,2,no,,,candidate,,
infra-file-f91c3162,infra,4,file,2026-09-07-webhook-por-cliente-cc698675.json,,.planning/intel/classifications/2026-09-07-webhook-por-cliente-cc698675.json,0,no,,,candidate,,
