id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-armazenamento-dir-b1a19995,packages-armazenamento,1,dir,packages/armazenamento/src,packages/storage/src,packages/armazenamento/src,0,no,,,proposed,codex1,
packages-armazenamento-dir-dba61104,packages-armazenamento,1,dir,packages/armazenamento/tests,packages/storage/tests,packages/armazenamento/tests,0,no,,,proposed,codex1,
packages-armazenamento-dir-5f919845,packages-armazenamento,1,dir,packages/armazenamento,packages/storage,packages/armazenamento,0,no,,,proposed,codex1,
packages-armazenamento-file-bd6b7b90,packages-armazenamento,1,file,armazenamento.test.ts,storage.test.ts,packages/armazenamento/tests/armazenamento.test.ts,0,no,,,proposed,codex1,
packages-armazenamento-package-c8cb836f,packages-armazenamento,4,package,@pipe/armazenamento,@pipe/storage,packages/armazenamento/package.json:1,0,no,,,proposed,codex1,
packages-armazenamento-symbol-767ed3eb,packages-armazenamento,1,symbol,anexoId,attachmentId,packages/armazenamento/tests/armazenamento.test.ts:124,70,no,,,proposed,codex1,
packages-armazenamento-symbol-82a83433,packages-armazenamento,1,symbol,ArmazenamentoEmDisco,StorageInDisk,packages/armazenamento/src/disco.ts:17,9,no,,,proposed,codex1,
packages-armazenamento-symbol-137cd2d4,packages-armazenamento,1,symbol,Armazenamento,Storage,packages/armazenamento/src/porta.ts:37,12,no,,,proposed,codex1,
packages-armazenamento-symbol-de0e65b3,packages-armazenamento,1,symbol,chaveDeAnexo,keyOfAttachment,packages/armazenamento/src/porta.ts:51,10,no,,,proposed,codex1,
packages-armazenamento-symbol-5c5b50a9,packages-armazenamento,1,symbol,chaveDoTenant,keyOfTenant,packages/armazenamento/src/porta.ts:75,10,no,,,proposed,codex1,
packages-armazenamento-symbol-97dc0817,packages-armazenamento,1,symbol,chave,key,packages/armazenamento/tests/armazenamento.test.ts:117,1153,no,,,proposed,codex1,
packages-armazenamento-symbol-bb0e5420,packages-armazenamento,1,symbol,dados,data,packages/armazenamento/src/disco.ts:48,669,no,,,proposed,codex1,
packages-armazenamento-symbol-64dd42ae,packages-armazenamento,1,symbol,dados,data,packages/armazenamento/tests/armazenamento.test.ts:168,669,no,,,proposed,codex1,
packages-armazenamento-symbol-94c1450e,packages-armazenamento,1,symbol,MAX_ARQUIVOS_POR_MENSAGEM,MAX_FILES_BY_MESSAGE,packages/armazenamento/src/limites.ts:33,12,no,,,proposed,codex1,
packages-armazenamento-symbol-c1a4af2b,packages-armazenamento,1,symbol,MAX_BYTES_POR_ARQUIVO,MAX_BYTES_BY_FILE,packages/armazenamento/src/limites.ts:13,18,no,,,proposed,codex1,
packages-armazenamento-symbol-e22418b6,packages-armazenamento,1,symbol,MIMES_ARQUIVO,MIME_TYPES_FILE,packages/armazenamento/src/limites.ts:57,4,no,,,proposed,codex1,
packages-armazenamento-symbol-0e3c8b4b,packages-armazenamento,1,symbol,MIMES_IMAGEM,MIME_TYPES_IMAGE,packages/armazenamento/src/limites.ts:44,2,no,,,proposed,codex1,
packages-armazenamento-symbol-88471a73,packages-armazenamento,1,symbol,SEGREDO,SECRET,packages/armazenamento/tests/armazenamento.test.ts:21,18,no,,,proposed,codex1,
packages-armazenamento-symbol-399b37d3,packages-armazenamento,1,symbol,servirComoAnexo,serveAsAttachment,packages/armazenamento/src/tipo-real.ts:69,9,no,,,proposed,codex1,fixed: servir was missing from the dictionary (left PT)
packages-armazenamento-symbol-ee2ed949,packages-armazenamento,1,symbol,VALIDADE_LINK_MS,VALIDITY_LINK_MS,packages/armazenamento/src/limites.ts:41,4,no,,,proposed,codex1,
packages-armazenamento-test-title-20d96e21,packages-armazenamento,1,test-title,"a chave começa pelo tenant, sempre","a key começa by tenant, always",packages/armazenamento/tests/armazenamento.test.ts:99,0,no,,,candidate,codex1,D-47: retranslate (pseudo-English)
packages-armazenamento-test-title-dc9da8ad,packages-armazenamento,1,test-title,aceita a assinatura certa dentro da validade,accepts a signature correct inside of validity,packages/armazenamento/tests/armazenamento.test.ts:126,0,no,,,candidate,codex1,D-47: retranslate (pseudo-English)
packages-armazenamento-test-title-9a145508,packages-armazenamento,1,test-title,aguenta arquivo curto demais sem estourar,withstands file short excessive without overflow,packages/armazenamento/tests/armazenamento.test.ts:90,0,no,,,candidate,codex1,D-47: retranslate (pseudo-English)
