id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-autenticacao-cookie-2483d34b,packages-autenticacao,1,cookie,pipe_sessao,pipe_session,packages/autenticacao/src/sessao.ts:18,29,unknown,,D-38,proposed,sonnet,
packages-autenticacao-dir-2891b1eb,packages-autenticacao,1,dir,packages/autenticacao/src,packages/authentication/src,packages/autenticacao/src,0,no,,,proposed,codex1,
packages-autenticacao-dir-1b627fe7,packages-autenticacao,1,dir,packages/autenticacao/tests,packages/authentication/tests,packages/autenticacao/tests,0,no,,,proposed,codex1,
packages-autenticacao-dir-90d0fa9d,packages-autenticacao,1,dir,packages/autenticacao,packages/authentication,packages/autenticacao,0,no,,,proposed,codex1,
packages-autenticacao-file-f8a13a8a,packages-autenticacao,1,file,entrada.ts,inbound.ts,packages/autenticacao/src/entrada.ts,18,no,,,proposed,codex1,
packages-autenticacao-file-011ff922,packages-autenticacao,1,file,sessao.test.ts,session.test.ts,packages/autenticacao/tests/sessao.test.ts,0,no,,,proposed,codex1,
packages-autenticacao-file-cc61ebc0,packages-autenticacao,1,file,sessao.ts,src/session.ts,packages/autenticacao/src/sessao.ts,20,no,,,proposed,codex1,
packages-autenticacao-package-453a9548,packages-autenticacao,4,package,@pipe/autenticacao,@pipe/authentication,packages/autenticacao/package.json:1,0,no,,,proposed,codex1,
packages-autenticacao-symbol-c230d3f0,packages-autenticacao,1,symbol,abrirContaNova,openAccountNew,packages/autenticacao/src/entrada.ts:226,3,no,,,proposed,codex1,
packages-autenticacao-symbol-04a9d3a3,packages-autenticacao,1,symbol,abrirSessaoEm,openSessionAt,packages/autenticacao/src/entrada.ts:287,3,no,,,proposed,codex1,
packages-autenticacao-symbol-16a289ad,packages-autenticacao,1,symbol,abrirSessao,openSession,packages/autenticacao/src/entrada.ts:341,91,no,,,proposed,codex1,
packages-autenticacao-symbol-75cb19aa,packages-autenticacao,1,symbol,chavesDeTeste,keysOfTest,packages/autenticacao/tests/google.test.ts:23,20,no,,,proposed,codex1,
packages-autenticacao-symbol-831faf4e,packages-autenticacao,1,symbol,chavesDeTeste,keysOfTest,packages/autenticacao/tests/oidc.test.ts:41,20,no,,,proposed,codex1,
packages-autenticacao-symbol-a8e81879,packages-autenticacao,1,symbol,clienteSegredo,customerSecret,packages/autenticacao/src/google.ts:53,19,no,,,proposed,codex1,
packages-autenticacao-symbol-99ac2434,packages-autenticacao,1,symbol,ContaNova,AccountNew,packages/autenticacao/src/entrada.ts:93,3,no,,,proposed,codex1,
packages-autenticacao-symbol-eb3d38c7,packages-autenticacao,1,symbol,conta,account,packages/autenticacao/src/entrada.ts:232,808,no,,,proposed,codex1,
packages-autenticacao-symbol-877c26c8,packages-autenticacao,1,symbol,cookieDeSessao,cookieOfSession,packages/autenticacao/src/sessao.ts:80,12,no,,,proposed,codex1,
packages-autenticacao-symbol-2b851779,packages-autenticacao,1,symbol,criarDesafio,createChallenge,packages/autenticacao/src/google.ts:73,20,no,,,proposed,codex1,
packages-autenticacao-symbol-3e2ff432,packages-autenticacao,1,symbol,criarToken,createToken,packages/autenticacao/src/sessao.ts:28,68,no,,,proposed,codex1,
