id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-contracts-file-11ea4239,packages-contracts,1,file,gestao-equipe.ts,management-team.ts,packages/contracts/src/gestao-equipe.ts,1,no,,,approved,codex1,
packages-contracts-file-1a053f9f,packages-contracts,1,file,gestao-cadastros.ts,management-registrations.ts,packages/contracts/src/gestao-cadastros.ts,0,no,,,approved,codex1,
packages-contracts-file-51dace3c,packages-contracts,1,file,encerramento.ts,closure.ts,packages/contracts/src/encerramento.ts,0,no,,,approved,codex1,
packages-contracts-file-6572ac1a,packages-contracts,1,file,gestao-fluxo.ts,management-flow.ts,packages/contracts/src/gestao-fluxo.ts,9,no,,,approved,codex1,
packages-contracts-file-afe77c2a,packages-contracts,1,file,sessao.ts,session.ts,packages/contracts/src/sessao.ts,20,no,,,approved,codex1,
packages-contracts-literal-value-61eba365,packages-contracts,1,literal-value,monitoramento,monitoring,packages/contracts/src/eventos.ts:22,102,no,,D-11,approved,codex1,
packages-contracts-literal-value-6d72e2d6,packages-contracts,1,literal-value,dominio_publico,domain_public,packages/contracts/src/sessao.ts:52,11,no,,D-11,approved,codex1,
packages-contracts-literal-value-8bdee369,packages-contracts,1,literal-value,dominio_desconhecido,domain_unknown,packages/contracts/src/sessao.ts:54,9,no,,D-11,approved,codex1,
packages-contracts-literal-value-a6520e17,packages-contracts,1,literal-value,usuario_inativo,user_inactive,packages/contracts/src/sessao.ts:58,9,no,,D-11,approved,codex1,
packages-contracts-literal-value-b2d38759,packages-contracts,1,literal-value,fila,queue,packages/contracts/src/eventos.ts:18,993,no,,D-11,approved,codex1,
packages-contracts-literal-value-b42e9a94,packages-contracts,1,literal-value,atendente,agent,packages/contracts/src/eventos.ts:20,768,no,,D-11,approved,codex1,
packages-contracts-literal-value-d506e908,packages-contracts,1,literal-value,conversa,conversation,packages/contracts/src/eventos.ts:16,1270,no,,D-11,approved,codex1,
packages-contracts-literal-value-fe720af7,packages-contracts,1,literal-value,sem_convite,without_invitation,packages/contracts/src/sessao.ts:56,15,no,,D-11,approved,codex1,
packages-contracts-symbol-043e9220,packages-contracts,1,symbol,EstadoDaVersao,StateOfVersion,packages/contracts/src/gestao-fluxo.ts:335,5,no,,,approved,codex1,
packages-contracts-symbol-0484beeb,packages-contracts,1,symbol,DadosDeGrowth,DataOfGrowth,packages/contracts/src/gestao-fluxo.ts:175,9,no,,,approved,codex1,
packages-contracts-symbol-068e1808,packages-contracts,1,symbol,RespostaDaConversa,ResponseOfConversation,packages/contracts/src/desk.ts:192,5,no,,,approved,codex1,
packages-contracts-symbol-0f55c2c9,packages-contracts,1,symbol,ContatoListado,ContactListed,packages/contracts/src/gestao-fluxo.ts:73,6,no,,,approved,codex1,"fixed leftover PT token (gate-2 compound audit, D-47 follow-up)"
packages-contracts-symbol-10a47073,packages-contracts,1,symbol,PedidoDeRegraPrioridade,RequestOfRulePriority,packages/contracts/src/gestao-cadastros.ts:202,3,no,,,approved,codex1,
packages-contracts-symbol-11175a75,packages-contracts,1,symbol,RespostaDasMetricas,ResponseOfMetrics,packages/contracts/src/desk.ts:275,5,no,,,approved,codex1,
packages-contracts-symbol-146893ac,packages-contracts,1,symbol,ConversaAberta,ConversationOpen,packages/contracts/src/desk.ts:106,7,no,,,approved,codex1,
packages-contracts-symbol-1bf9fb9e,packages-contracts,1,symbol,ErroDoBloco,BlockError,packages/contracts/src/gestao-fluxo.ts:330,25,no,,D-05,approved,sonnet,
packages-contracts-symbol-235e68be,packages-contracts,1,symbol,RegraFilaGravada,RuleQueueWritten,packages/contracts/src/gestao-cadastros.ts:123,4,no,,,approved,codex1,
