id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-core-dir-0047da1b,packages-core,1,dir,packages/core/src/esforco,packages/core/src/effort,packages/core/src/esforco,0,no,,,proposed,codex2,
packages-core-dir-115c6353,packages-core,1,dir,packages/core/src/analise,packages/core/src/analytics,packages/core/src/analise,0,no,,,proposed,codex2,
packages-core-dir-1e86b0ec,packages-core,1,dir,packages/core/src/janela,packages/core/src/window,packages/core/src/janela,0,no,,,proposed,codex2,
packages-core-dir-45fd3bfa,packages-core,1,dir,packages/core/src/metricas,packages/core/src/metrics,packages/core/src/metricas,0,no,,,proposed,codex2,
packages-core-dir-4f91bf1d,packages-core,1,dir,packages/core/src/fluxo/fixtures,packages/core/src/flow/fixtures,packages/core/src/fluxo/fixtures,0,no,,,proposed,codex2,
packages-core-dir-61473a8d,packages-core,1,dir,packages/core/src/conversa,packages/core/src/conversation,packages/core/src/conversa,0,no,,,proposed,codex2,
packages-core-dir-d503f8ce,packages-core,1,dir,packages/core/src/fluxo,packages/core/src/flow,packages/core/src/fluxo,0,no,,,proposed,codex2,
packages-core-dir-f4925d2f,packages-core,1,dir,packages/core/src/distribuicao,packages/core/src/distribution,packages/core/src/distribuicao,0,no,,,proposed,codex2,
packages-core-file-00d7606f,packages-core,1,file,encerramento.ts,packages/core/src/metrics/closure.ts,packages/core/src/metricas/encerramento.ts,0,no,,,proposed,codex2,
packages-core-file-0208f7ed,packages-core,1,file,metricas.teste.ts,packages/core/src/metrics/metrics.test.ts,packages/core/src/metricas/metricas.teste.ts,0,no,,,proposed,codex2,
packages-core-file-108a71a7,packages-core,1,file,contexto.ts,packages/core/src/flow/context.ts,packages/core/src/fluxo/contexto.ts,10,no,,,proposed,codex2,
packages-core-file-20b4c560,packages-core,1,file,conversa.teste.ts,packages/core/src/conversation/conversation.test.ts,packages/core/src/conversa/conversa.teste.ts,0,no,,,proposed,codex2,
packages-core-file-2b2376dc,packages-core,1,file,janela.ts,packages/core/src/window/window.ts,packages/core/src/janela/janela.ts,1,no,,,proposed,codex2,
packages-core-file-2cc3f6a9,packages-core,1,file,condicao.teste.ts,packages/core/src/flow/condition.test.ts,packages/core/src/fluxo/condicao.teste.ts,1,no,,,proposed,codex2,
packages-core-file-31f3a373,packages-core,1,file,esforco.teste.ts,packages/core/src/effort/effort.test.ts,packages/core/src/esforco/esforco.teste.ts,0,no,,,proposed,codex2,
packages-core-file-39e551fc,packages-core,1,file,prioridade.ts,packages/core/src/conversation/priority.ts,packages/core/src/conversa/prioridade.ts,2,no,,,proposed,codex2,
packages-core-file-519c6866,packages-core,1,file,modelos.teste.ts,packages/core/src/flow/templates.test.ts,packages/core/src/fluxo/modelos.teste.ts,1,no,,,proposed,codex2,
packages-core-file-576cceea,packages-core,1,file,acoes.teste.ts,packages/core/src/flow/actions.test.ts,packages/core/src/fluxo/acoes.teste.ts,0,no,,,proposed,codex2,
packages-core-file-58aae264,packages-core,1,file,janela.teste.ts,packages/core/src/window/window.test.ts,packages/core/src/janela/janela.teste.ts,0,no,,,proposed,codex2,
packages-core-file-810fcac6,packages-core,1,file,tempo.ts,packages/core/src/comum/time.ts,packages/core/src/comum/tempo.ts,0,no,,,proposed,codex2,
packages-core-file-91232c72,packages-core,1,file,score.teste.ts,packages/core/src/score/score.test.ts,packages/core/src/score/score.teste.ts,0,no,,,proposed,codex2,
packages-core-file-af1135dc,packages-core,1,file,tsconfig.testes.json,packages/core/tsconfig.tests.json,packages/core/tsconfig.testes.json,5,no,,,proposed,codex2,
packages-core-file-b12305d1,packages-core,1,file,acoes.ts,packages/core/src/flow/actions.ts,packages/core/src/fluxo/acoes.ts,39,no,,,proposed,codex2,
packages-core-file-cfee7b6a,packages-core,1,file,editor.teste.ts,packages/core/src/flow/editor.test.ts,packages/core/src/fluxo/editor.teste.ts,0,no,,,proposed,codex2,
packages-core-file-e0d39b14,packages-core,1,file,sessao.ts,packages/core/src/effort/session.ts,packages/core/src/esforco/sessao.ts,20,no,,,proposed,codex2,
packages-core-file-e3f2a69c,packages-core,1,file,gerenciador.ts,packages/core/src/flow/manager.ts,packages/core/src/fluxo/gerenciador.ts,3,no,,,proposed,codex2,
packages-core-file-e87c6686,packages-core,1,file,agregacao.ts,packages/core/src/metrics/aggregation.ts,packages/core/src/metricas/agregacao.ts,1,no,,,proposed,codex2,
packages-core-file-f0f6e836,packages-core,1,file,condicao.ts,packages/core/src/flow/condition.ts,packages/core/src/fluxo/condicao.ts,3,no,,,proposed,codex2,
packages-core-file-f8702a15,packages-core,1,file,distribuicao.teste.ts,packages/core/src/distribution/distribution.test.ts,packages/core/src/distribuicao/distribuicao.teste.ts,0,no,,,proposed,codex2,
packages-core-file-fbe39101,packages-core,1,file,gerenciador.teste.ts,packages/core/src/flow/manager.test.ts,packages/core/src/fluxo/gerenciador.teste.ts,28,no,,,proposed,codex2,
packages-core-file-ffd7eddb,packages-core,1,file,sla.teste.ts,packages/core/src/sla/sla.test.ts,packages/core/src/sla/sla.teste.ts,0,no,,,proposed,codex2,
packages-core-literal-value-0607370b,packages-core,1,literal-value,teto_sem_primeira_resposta,KEEP,packages/core/src/distribuicao/carga.ts:43,5,no,,D-11,proposed,codex2,"glossary-exception: persisted classification unresolved (01-08), deferred to STD-06"
packages-core-literal-value-3907e766,packages-core,1,literal-value,tempo_resposta,KEEP,packages/core/src/sla/regra.ts:18,11,no,,D-11,proposed,codex2,"glossary-exception: persisted classification unresolved (01-08), deferred to STD-06"
packages-core-literal-value-521fab4c,packages-core,1,literal-value,janela_fechada,KEEP,packages/core/src/janela/janela.ts:94,9,no,,D-11,proposed,codex2,"glossary-exception: persisted classification unresolved (01-08), deferred to STD-06"
