id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-db-file-0065b72a,packages-db,1,file,0023_permissao_excluir_fluxo.sql,KEEP,packages/db/drizzle/0023_permissao_excluir_fluxo.sql,0,no,,,proposed,codex1,
packages-db-file-1792091c,packages-db,1,file,0015_dicionario_twenty.sql,KEEP,packages/db/drizzle/0015_dicionario_twenty.sql,0,no,,,proposed,codex1,
packages-db-file-1d9f9fc9,packages-db,1,file,0024_roteador_servicos.sql,KEEP,packages/db/drizzle/0024_roteador_servicos.sql,0,no,,,proposed,codex1,
packages-db-file-38c11acd,packages-db,1,file,0036_webhook_autenticacao_e_cabecalhos.sql,KEEP,packages/db/drizzle/0036_webhook_autenticacao_e_cabecalhos.sql,0,no,,,proposed,codex1,
packages-db-file-3d94a989,packages-db,1,file,automacao.ts,automation.ts,packages/db/src/schema/automacao.ts,10,no,,,proposed,codex1,
packages-db-file-41963dc1,packages-db,1,file,0034_permissao_publicar_fluxo.sql,KEEP,packages/db/drizzle/0034_permissao_publicar_fluxo.sql,0,no,,,proposed,codex1,
packages-db-file-498ae927,packages-db,1,file,0014_motor_de_fluxo.sql,KEEP,packages/db/drizzle/0014_motor_de_fluxo.sql,0,no,,,proposed,codex1,
packages-db-file-50b71a43,packages-db,1,file,0016_entrada_do_cliente.sql,KEEP,packages/db/drizzle/0016_entrada_do_cliente.sql,0,no,,,proposed,codex1,
packages-db-file-580d88c0,packages-db,1,file,0002_particoes.sql,KEEP,packages/db/drizzle/0002_particoes.sql,0,no,,,proposed,codex1,
packages-db-file-70b82094,packages-db,1,file,0030_permissoes_cadastros_atendimento.sql,KEEP,packages/db/drizzle/0030_permissoes_cadastros_atendimento.sql,0,no,,,proposed,codex1,
packages-db-file-71720759,packages-db,1,file,particoes.ts,partitions.ts,packages/db/src/particoes.ts,1,no,,,proposed,codex1,
packages-db-file-72d82af0,packages-db,1,file,0022_fluxo_descricao.sql,KEEP,packages/db/drizzle/0022_fluxo_descricao.sql,0,no,,,proposed,codex1,
packages-db-file-74d470a6,packages-db,1,file,0020_fluxo_imagem_e_short_name.sql,KEEP,packages/db/drizzle/0020_fluxo_imagem_e_short_name.sql,0,no,,,proposed,codex1,
packages-db-file-7d731d2c,packages-db,1,file,0046_permissao_do_atendente.sql,KEEP,packages/db/drizzle/0046_permissao_do_atendente.sql,0,no,,,proposed,codex1,
packages-db-file-7d9e2437,packages-db,1,file,0035_equipe_do_fluxo.sql,KEEP,packages/db/drizzle/0035_equipe_do_fluxo.sql,0,no,,,proposed,codex1,
packages-db-file-80f5ceac,packages-db,1,file,semente.ts,seed.ts,packages/db/src/semente.ts,8,no,,,proposed,codex1,
packages-db-file-881fbc74,packages-db,1,file,conversas.ts,conversations.ts,packages/db/src/schema/conversas.ts,14,no,,,proposed,codex1,
packages-db-file-8a235166,packages-db,1,file,0004_canal_instagram.sql,KEEP,packages/db/drizzle/0004_canal_instagram.sql,0,no,,,proposed,codex1,
packages-db-file-8a276c42,packages-db,1,file,0032_integracoes_fluxo.sql,KEEP,packages/db/drizzle/0032_integracoes_fluxo.sql,0,no,,,proposed,codex1,
packages-db-file-8cc3956e,packages-db,1,file,0018_fluxo_e_roteador.sql,KEEP,packages/db/drizzle/0018_fluxo_e_roteador.sql,0,no,,,proposed,codex1,
packages-db-file-94faaf05,packages-db,1,file,segredo.ts,secret.ts,packages/db/src/segredo.ts,17,no,,,proposed,codex1,
packages-db-file-962082e9,packages-db,1,file,0012_espelho_twenty.sql,KEEP,packages/db/drizzle/0012_espelho_twenty.sql,0,no,,,proposed,codex1,
packages-db-file-99b5a24f,packages-db,1,file,0041_marcacao_de_conversa.sql,KEEP,packages/db/drizzle/0041_marcacao_de_conversa.sql,0,no,,,proposed,codex1,
packages-db-file-9d881078,packages-db,1,file,implantacao.ts,deployment.ts,packages/db/src/schema/implantacao.ts,5,no,,,proposed,codex1,
packages-db-file-a48e8c42,packages-db,1,file,0031_configuracao_do_fluxo.sql,KEEP,packages/db/drizzle/0031_configuracao_do_fluxo.sql,0,no,,,proposed,codex1,
packages-db-file-ad4a9836,packages-db,1,file,0040_indices_log_e_analise.sql,KEEP,packages/db/drizzle/0040_indices_log_e_analise.sql,0,no,,,proposed,codex1,
packages-db-file-b7974f42,packages-db,1,file,semente.test.ts,seed.test.ts,packages/db/tests/semente.test.ts,0,no,,,proposed,codex1,
packages-db-file-bc6f603d,packages-db,1,file,segredo.test.ts,secret.test.ts,packages/db/tests/segredo.test.ts,0,no,,,proposed,codex1,
packages-db-file-be1eaa94,packages-db,1,file,0007_tenant_implantacao.sql,KEEP,packages/db/drizzle/0007_tenant_implantacao.sql,0,no,,,proposed,codex1,
packages-db-file-bfab019a,packages-db,1,file,monitoria.ts,quality-review.ts,packages/db/src/schema/monitoria.ts,3,no,,,proposed,codex1,glossary-exception:D-01
packages-db-file-c5c1bb12,packages-db,1,file,0000_fundacao.sql,KEEP,packages/db/drizzle/0000_fundacao.sql,0,no,,,proposed,codex1,
packages-db-file-cc7bd175,packages-db,1,file,0010_convite.sql,KEEP,packages/db/drizzle/0010_convite.sql,0,no,,,proposed,codex1,
packages-db-file-ced7ada1,packages-db,1,file,0043_canal_messenger.sql,KEEP,packages/db/drizzle/0043_canal_messenger.sql,0,no,,,proposed,codex1,
packages-db-file-d12c1c28,packages-db,1,file,identidade.ts,identity.ts,packages/db/src/schema/identidade.ts,13,no,,,proposed,codex1,
packages-db-file-d61cfcd5,packages-db,1,file,0008_canal_roteamento.sql,KEEP,packages/db/drizzle/0008_canal_roteamento.sql,0,no,,,proposed,codex1,
packages-db-file-d95eed0d,packages-db,1,file,0033_download_de_midia.sql,KEEP,packages/db/drizzle/0033_download_de_midia.sql,3,no,,,proposed,codex1,
packages-db-file-d9da74a6,packages-db,1,file,0005_mensagem_dados.sql,KEEP,packages/db/drizzle/0005_mensagem_dados.sql,0,no,,,proposed,codex1,
packages-db-file-da26e653,packages-db,1,file,0017_conta_por_autosservico.sql,KEEP,packages/db/drizzle/0017_conta_por_autosservico.sql,0,no,,,proposed,codex1,
packages-db-file-de7f01db,packages-db,1,file,semente-demo.ts,seed-demo.ts,packages/db/src/semente-demo.ts,2,no,,,proposed,codex1,
packages-db-file-e2b8fe49,packages-db,1,file,gestao.ts,management.ts,packages/db/src/schema/gestao.ts,5,no,,,proposed,codex1,
packages-db-file-e971e20e,packages-db,1,file,migrar.ts,migrate.ts,packages/db/src/migrar.ts,2,no,,,proposed,codex1,
packages-db-file-f9368209,packages-db,1,file,0019_permissoes_da_conta.sql,KEEP,packages/db/drizzle/0019_permissoes_da_conta.sql,0,no,,,proposed,codex1,
packages-db-file-fb0a4759,packages-db,1,file,0044_certificado_mtls_arquivo.sql,KEEP,packages/db/drizzle/0044_certificado_mtls_arquivo.sql,0,no,,,proposed,codex1,
packages-db-file-fcf504b7,packages-db,1,file,0021_papel_da_conta.sql,KEEP,packages/db/drizzle/0021_papel_da_conta.sql,0,no,,,proposed,codex1,
packages-db-file-ff883d49,packages-db,1,file,0013_prioridade_cinco_degraus.sql,KEEP,packages/db/drizzle/0013_prioridade_cinco_degraus.sql,0,no,,,proposed,codex1,
packages-db-literal-value-0b8f63dc,packages-db,1,literal-value,criou,KEEP,packages/db/src/auditoria.ts:44,0,unknown,,D-09,proposed,sonnet,jsonb:logAuditoria.antes;jsonb:logAuditoria.depois
packages-db-literal-value-2b33e8b3,packages-db,1,literal-value,excluiu,KEEP,packages/db/src/auditoria.ts:44,0,unknown,,D-09,proposed,sonnet,jsonb:logAuditoria.antes;jsonb:logAuditoria.depois
packages-db-literal-value-56b4b9e4,packages-db,1,literal-value,alterou,KEEP,packages/db/src/auditoria.ts:44,0,unknown,,D-09,proposed,sonnet,jsonb:logAuditoria.antes;jsonb:logAuditoria.depois
packages-db-literal-value-6fc8956d,packages-db,1,literal-value,sistema,KEEP,packages/db/src/auditoria.ts:36,0,unknown,,D-09,proposed,sonnet,jsonb:logAuditoria.antes;jsonb:logAuditoria.depois
packages-db-literal-value-817db997,packages-db,1,literal-value,desativou,KEEP,packages/db/src/auditoria.ts:44,0,unknown,,D-09,proposed,sonnet,jsonb:logAuditoria.antes;jsonb:logAuditoria.depois
packages-db-literal-value-f2916c57,packages-db,1,literal-value,ativou,KEEP,packages/db/src/auditoria.ts:44,0,unknown,,D-09,proposed,sonnet,jsonb:logAuditoria.antes;jsonb:logAuditoria.depois
packages-db-script-07edbc9b,packages-db,1,script,migrar,migrate,packages/db/package.json:1,0,no,,D-07,proposed,sonnet,
packages-db-script-6beb7ef3,packages-db,1,script,semear:demo,seed:demo,packages/db/package.json:1,0,no,,D-07,proposed,sonnet,
packages-db-script-8dc63fee,packages-db,1,script,semear,seed,packages/db/package.json:1,0,no,,D-07,proposed,sonnet,
packages-db-symbol-01a41645,packages-db,1,symbol,baseConhecimento,baseKnowledge,packages/db/src/schema/monitoria.ts:312,1,no,,,proposed,codex1,
packages-db-symbol-0286fa0d,packages-db,1,symbol,permissao,permission,packages/db/src/schema/identidade.ts:207,54,no,,,proposed,codex1,
packages-db-symbol-028b64d5,packages-db,1,symbol,ESCOPOS_ETIQUETA,SCOPES_LABEL,packages/db/src/schema/conversas.ts:484,2,no,,,proposed,codex1,
packages-db-symbol-0570afd5,packages-db,1,symbol,DA_CONTA_EM_LEITURA,OF_ACCOUNT_IN_READ,packages/db/src/semente.ts:117,2,no,,,proposed,codex1,
packages-db-symbol-06a8c015,packages-db,1,symbol,EMAILS_CONTATO,EMAILS_CONTACT,packages/db/src/semente-demo.ts:54,2,no,,,proposed,codex1,
packages-db-symbol-0ace7616,packages-db,1,symbol,classificacaoConversa,classificationConversation,packages/db/src/schema/monitoria.ts:249,16,no,,,proposed,codex1,
packages-db-symbol-0d993589,packages-db,1,symbol,regraFila,ruleQueue,packages/db/src/schema/gestao.ts:143,12,no,,,proposed,codex1,
packages-db-symbol-0ee43c93,packages-db,1,symbol,convite,invitation,packages/db/src/schema/identidade.ts:539,338,no,,,proposed,codex1,
packages-db-symbol-0ff47e0c,packages-db,1,symbol,NOMES_CANAL,NAMES_CHANNEL,packages/db/src/semente-demo.ts:63,2,no,,,proposed,codex1,
packages-db-symbol-104c99a0,packages-db,1,symbol,transicao,transition,packages/db/src/schema/automacao.ts:284,13,no,,,proposed,codex1,
packages-db-symbol-140d40cb,packages-db,1,symbol,chave,key,packages/db/src/segredo.ts:111,1153,no,,,proposed,codex1,
packages-db-symbol-15377d3b,packages-db,1,symbol,TIPOS_BLOCO,TYPES_BLOCK,packages/db/src/schema/automacao.ts:248,2,no,,,proposed,codex1,
packages-db-symbol-159ba8da,packages-db,1,symbol,fluxo,flow,packages/db/src/schema/automacao.ts:31,1172,no,,,proposed,codex1,
packages-db-symbol-1889ed8e,packages-db,1,symbol,TIPOS_EVENTO_ATENDIMENTO,TYPES_EVENT_ATTENDANCE,packages/db/src/schema/comum.ts:66,3,no,,,proposed,codex1,
packages-db-symbol-1c41f068,packages-db,1,symbol,identidadeExterna,identityExternal,packages/db/src/schema/identidade.ts:360,6,no,,,proposed,codex1,
packages-db-symbol-21976d38,packages-db,1,symbol,PAPEIS_DE_CONTA,PAPEIS_OF_ACCOUNT,packages/db/src/schema/identidade.ts:179,2,no,,,proposed,codex1,
packages-db-symbol-2403330b,packages-db,1,symbol,fluxoMembro,flowMember,packages/db/src/schema/automacao.ts:114,9,no,,,proposed,codex1,
packages-db-symbol-246e8118,packages-db,1,symbol,TIPOS_CANAL,TYPES_CHANNEL,packages/db/src/schema/comum.ts:36,5,no,,,proposed,codex1,
packages-db-symbol-266ed385,packages-db,1,symbol,execucaoAcao,executionAcao,packages/db/src/schema/automacao.ts:502,1,no,,,proposed,codex1,
packages-db-symbol-26774ee2,packages-db,1,symbol,FILAS_EXEMPLO,QUEUES_EXAMPLE,packages/db/src/semente.ts:250,2,no,,,proposed,codex1,
packages-db-symbol-27466cde,packages-db,1,symbol,calibracaoItem,calibrationItem,packages/db/src/schema/monitoria.ts:183,1,no,,,proposed,codex1,
packages-db-symbol-27c036bd,packages-db,1,symbol,eventoAtendimento,eventAttendance,packages/db/src/schema/gestao.ts:40,7,no,,,proposed,codex1,
packages-db-symbol-292ccd3e,packages-db,1,symbol,statusAtendente,statusAgent,packages/db/src/schema/conversas.ts:470,11,no,,,proposed,codex1,
packages-db-symbol-2a2d0c1e,packages-db,1,symbol,avaliacao,evaluation,packages/db/src/schema/monitoria.ts:88,35,no,,,proposed,codex1,
packages-db-symbol-2ef7f221,packages-db,1,symbol,Chaveiro,Keyring,packages/db/src/segredo.ts:42,9,no,,,proposed,codex1,
packages-db-symbol-2f2b0540,packages-db,1,symbol,FORMATOS_EXPORTACAO,FORMATS_EXPORT,packages/db/src/schema/automacao.ts:540,2,no,,,proposed,codex1,
packages-db-symbol-30c6d342,packages-db,1,symbol,literais,literals,packages/db/src/schema/comum.ts:32,20,no,,,proposed,codex1,
packages-db-symbol-30d4dbe9,packages-db,1,symbol,fecharBanco,closeDatabase,packages/db/src/cliente.ts:29,35,no,,,proposed,codex1,
packages-db-symbol-33acfb7b,packages-db,1,symbol,ResultadoSementeDemo,ResultSeedDemo,packages/db/src/semente-demo.ts:95,2,no,,,proposed,codex1,
packages-db-symbol-34006f4c,packages-db,1,symbol,usuarioPapel,userRole,packages/db/src/schema/identidade.ts:227,20,no,,,proposed,codex1,
packages-db-symbol-3662df82,packages-db,1,symbol,idsCanal,idsChannel,packages/db/src/semente-demo.ts:144,4,no,,,proposed,codex1,
packages-db-symbol-374d073e,packages-db,1,symbol,etiquetaPor,labelBy,packages/db/src/semente-demo.ts:397,8,no,,,proposed,codex1,
packages-db-symbol-3b078d31,packages-db,1,symbol,atribuicao,assignment,packages/db/src/schema/conversas.ts:424,15,no,,,proposed,codex1,
packages-db-symbol-3cbc934b,packages-db,1,symbol,DO_ATENDENTE,OF_AGENT,packages/db/src/semente.ts:119,2,no,,,proposed,codex1,
packages-db-symbol-3e05b199,packages-db,1,symbol,esforcoAtendenteDia,effortAgentDay,packages/db/src/schema/gestao.ts:123,1,no,,,proposed,codex1,
packages-db-symbol-3e0ea532,packages-db,1,symbol,contestacao,dispute,packages/db/src/schema/monitoria.ts:151,4,no,,,proposed,codex1,
packages-db-symbol-3f7040ed,packages-db,1,symbol,filaAtendente,queueAgent,packages/db/src/schema/conversas.ts:113,10,no,,,proposed,codex1,
packages-db-symbol-410dd546,packages-db,1,symbol,criarBanco,createDatabase,packages/db/src/cliente.ts:20,49,no,,,proposed,codex1,
packages-db-symbol-413e28e0,packages-db,1,symbol,filas,queues,packages/db/src/semente-demo.ts:216,297,no,,,proposed,codex1,
packages-db-symbol-439816ce,packages-db,1,symbol,canalSiteId,channelSiteId,packages/db/src/semente-demo.ts:238,3,no,,,proposed,codex1,
packages-db-symbol-45e0cb67,packages-db,1,symbol,contatoEtiqueta,contactLabel,packages/db/src/schema/conversas.ts:520,8,no,,,proposed,codex1,
packages-db-symbol-48c53991,packages-db,1,symbol,execucaoFluxo,executionFlow,packages/db/src/schema/automacao.ts:321,1,no,,,proposed,codex1,
packages-db-symbol-4a8138bd,packages-db,1,symbol,dados,data,packages/db/tests/semente.test.ts:67,669,no,,,proposed,codex1,
packages-db-symbol-4b2647e3,packages-db,1,symbol,contagem,count,packages/db/tests/rls.test.ts:59,134,no,,,proposed,codex1,
packages-db-symbol-4ce2904b,packages-db,1,symbol,fila,queue,packages/db/src/schema/conversas.ts:77,993,no,,,proposed,codex1,
packages-db-symbol-4dbc1370,packages-db,1,symbol,entregaWebhook,deliveryWebhook,packages/db/src/schema/automacao.ts:691,2,no,,,proposed,codex1,
packages-db-symbol-4df04e50,packages-db,1,symbol,PAPEIS_NO_FLUXO,PAPEIS_IN_FLOW,packages/db/src/schema/automacao.ts:107,2,no,,,proposed,codex1,
packages-db-symbol-4e48a409,packages-db,1,symbol,ACOES,ACTIONS,packages/db/src/auditoria.ts:32,8,no,,,proposed,codex1,
packages-db-symbol-4eb28cc5,packages-db,1,symbol,importacaoArquivo,importFile,packages/db/src/schema/implantacao.ts:12,1,no,,,proposed,codex1,
packages-db-symbol-50435922,packages-db,1,symbol,filaId,queueId,packages/db/tests/ajuda.ts:45,170,no,,,proposed,codex1,
packages-db-symbol-537f52a0,packages-db,1,symbol,horarioExcecao,scheduleException,packages/db/src/schema/gestao.ts:303,10,no,,,proposed,codex1,
packages-db-symbol-56bc0c3c,packages-db,1,symbol,respostaAvaliacao,responseEvaluation,packages/db/src/schema/monitoria.ts:130,3,no,,,proposed,codex1,
packages-db-symbol-57188b9c,packages-db,1,symbol,TIPOS_ATIVIDADE,TYPES_ACTIVITY,packages/db/src/schema/crm.ts:275,2,no,,,proposed,codex1,
packages-db-symbol-59e090ff,packages-db,1,symbol,criarUsuario,createUser,packages/db/tests/semente.test.ts:43,6,no,,,proposed,codex1,
packages-db-symbol-5ab04d2d,packages-db,1,symbol,filaPor,queueBy,packages/db/src/semente-demo.ts:217,5,no,,,proposed,codex1,
packages-db-symbol-5cf5da9a,packages-db,1,symbol,usuarioPermissao,userPermission,packages/db/src/schema/identidade.ts:274,7,no,,,proposed,codex1,
packages-db-symbol-5dc874b6,packages-db,1,symbol,fila,queue,packages/db/tests/ajuda.ts:42,993,no,,,proposed,codex1,
packages-db-symbol-603d7c95,packages-db,1,symbol,conversa,conversation,packages/db/src/schema/conversas.ts:264,1270,no,,,proposed,codex1,
packages-db-symbol-6129fe48,packages-db,1,symbol,execucaoWorkflow,executionWorkflow,packages/db/src/schema/automacao.ts:480,1,no,,,proposed,codex1,
packages-db-symbol-6159ff07,packages-db,1,symbol,conversas,conversations,packages/db/src/semente-demo.ts:482,540,no,,,proposed,codex1,
packages-db-symbol-66e3dae8,packages-db,1,symbol,execucaoPasso,executionPasso,packages/db/src/schema/automacao.ts:356,1,no,,,proposed,codex1,
packages-db-symbol-68c6574e,packages-db,1,symbol,trechoConhecimento,snippetKnowledge,packages/db/src/schema/monitoria.ts:342,1,no,,,proposed,codex1,
packages-db-symbol-695691aa,packages-db,1,symbol,ESTADOS_EXECUCAO,STATES_EXECUTION,packages/db/src/schema/automacao.ts:313,3,no,,,proposed,codex1,
packages-db-symbol-69fdff9b,packages-db,1,symbol,ESTADOS_ENTREGA,STATES_DELIVERY,packages/db/src/schema/comum.ts:44,4,no,,,proposed,codex1,
packages-db-symbol-6b4b7f55,packages-db,1,symbol,contato,contact,packages/db/src/schema/conversas.ts:154,1026,no,,,proposed,codex1,
packages-db-symbol-6c421dfd,packages-db,1,symbol,contatosAntigos,contactsOld,packages/db/src/semente-demo.ts:116,1,no,,,proposed,codex1,
packages-db-symbol-6d375c5a,packages-db,1,symbol,canalWhatsId,channelWhatsId,packages/db/src/semente-demo.ts:236,6,no,,,proposed,codex1,
packages-db-symbol-6e798c2e,packages-db,1,symbol,contatoIdentidade,contactIdentity,packages/db/src/schema/conversas.ts:195,3,no,,,proposed,codex1,
packages-db-symbol-6f3faece,packages-db,1,symbol,AUTORES_MENSAGEM,AUTHORS_MESSAGE,packages/db/src/schema/conversas.ts:320,2,no,,,proposed,codex1,
packages-db-symbol-72ec0243,packages-db,1,symbol,calibracao,calibration,packages/db/src/schema/monitoria.ts:173,4,no,,,proposed,codex1,
packages-db-symbol-734cdfc9,packages-db,1,symbol,TenantInvalidoErro,TenantInvalidError,packages/db/src/tenant.ts:16,3,no,,,proposed,codex1,
packages-db-symbol-74ce9132,packages-db,1,symbol,PAPEIS_DA_CONTA,PAPEIS_OF_ACCOUNT,packages/db/src/semente.ts:183,3,no,,,proposed,codex1,
packages-db-symbol-78ffa655,packages-db,1,symbol,OpcoesBanco,OptionsDatabase,packages/db/src/cliente.ts:8,2,no,,,proposed,codex1,
packages-db-symbol-7a66fad6,packages-db,1,symbol,sessao,session,packages/db/src/schema/identidade.ts:319,382,no,,,proposed,codex1,
packages-db-symbol-7dbd7e5d,packages-db,1,symbol,marcacaoConversa,taggingConversation,packages/db/src/schema/conversas.ts:558,1,no,,,proposed,codex1,
packages-db-symbol-7ed2d0ec,packages-db,1,symbol,chaveiro,keyring,packages/db/tests/segredo.test.ts:17,80,no,,,proposed,codex1,
packages-db-symbol-7efe1ea2,packages-db,1,symbol,AUTORES_ULTIMA_MENSAGEM,AUTHORS_LAST_MESSAGE,packages/db/src/schema/conversas.ts:262,2,no,,,proposed,codex1,
packages-db-symbol-80c12bd7,packages-db,1,symbol,respostaPor,responseBy,packages/db/src/semente-demo.ts:380,3,no,,,proposed,codex1,
packages-db-symbol-819baee5,packages-db,1,symbol,usuarioId,userId,packages/db/tests/semente.test.ts:49,604,no,,,proposed,codex1,
packages-db-symbol-82e630ec,packages-db,1,symbol,fluxoVersao,flowVersion,packages/db/src/schema/automacao.ts:224,2,no,,,proposed,codex1,
packages-db-symbol-842136c8,packages-db,1,symbol,dinheiro,money,packages/db/src/schema/comum.ts:25,35,no,,,proposed,codex1,
packages-db-symbol-84621151,packages-db,1,symbol,conta,account,packages/db/src/schema/crm.ts:25,808,no,,,proposed,codex1,
packages-db-symbol-84a1622d,packages-db,1,symbol,papelPermissao,rolePermission,packages/db/src/schema/identidade.ts:213,10,no,,,proposed,codex1,
packages-db-symbol-84a34040,packages-db,1,symbol,primeiro,first,packages/db/tests/rls.test.ts:153,258,no,,,proposed,codex1,
packages-db-symbol-84ec8327,packages-db,1,symbol,semearDemo,seedDemo,packages/db/src/semente-demo.ts:102,2,no,,,proposed,codex1,
packages-db-symbol-886b39ac,packages-db,1,symbol,consultaSalva,querySaves,packages/db/src/schema/automacao.ts:520,1,no,,,proposed,codex1,
packages-db-symbol-8b762359,packages-db,1,symbol,importacao,import,packages/db/src/schema/crm.ts:317,29,no,,,proposed,codex1,
packages-db-symbol-8cb9871a,packages-db,1,symbol,dominioTenant,domainTenant,packages/db/src/schema/identidade.ts:401,5,no,,,proposed,codex1,
packages-db-symbol-8d022fc6,packages-db,1,symbol,FUNCOES_EQUIPE,FUNCTIONS_TEAM,packages/db/src/schema/identidade.ts:299,2,no,,,proposed,codex1,
packages-db-symbol-8edacd07,packages-db,1,symbol,valor,value,packages/db/src/segredo.ts:157,1656,no,,,proposed,codex1,
packages-db-symbol-8f76df4f,packages-db,1,symbol,chaveApi,keyApi,packages/db/src/schema/identidade.ts:472,12,no,,,proposed,codex1,
packages-db-symbol-9137cbf4,packages-db,1,symbol,ESCOPOS_REGRA,SCOPES_RULE,packages/db/src/schema/gestao.ts:178,4,no,,,proposed,codex1,
packages-db-symbol-914772cf,packages-db,1,symbol,POLITICAS_ERRO,POLICYS_ERROR,packages/db/src/schema/automacao.ts:455,2,no,,,proposed,codex1,
packages-db-symbol-91b91e07,packages-db,1,symbol,chaveiroDoAmbiente,keyringOfAmbiente,packages/db/src/segredo.ts:53,27,no,,,proposed,codex1,
packages-db-symbol-91bbc3b1,packages-db,1,symbol,mesmoValor,sameValue,packages/db/src/auditoria.ts:136,4,no,,,proposed,codex1,
packages-db-symbol-9344305b,packages-db,1,symbol,dicionarioObjeto,dictionaryObject,packages/db/src/schema/automacao.ts:569,6,no,,,proposed,codex1,
packages-db-symbol-94379411,packages-db,1,symbol,ESTADOS_IMPORTACAO,STATES_IMPORT,packages/db/src/schema/crm.ts:308,2,no,,,proposed,codex1,
packages-db-symbol-99a06f21,packages-db,1,symbol,DIRECOES_MENSAGEM,DIRECTIONS_MESSAGE,packages/db/src/schema/conversas.ts:319,4,no,,,proposed,codex1,
packages-db-symbol-9a86e4c4,packages-db,1,symbol,chaveA,keyA,packages/db/tests/segredo.test.ts:14,2,no,,,proposed,codex1,
packages-db-symbol-9ad16274,packages-db,1,symbol,garantirUsuario,garantirUser,packages/db/src/semente-demo.ts:160,6,no,,,proposed,codex1,
packages-db-symbol-9af69a0e,packages-db,1,symbol,documentoConhecimento,documentKnowledge,packages/db/src/schema/monitoria.ts:324,1,no,,,proposed,codex1,
packages-db-symbol-9d3d0fef,packages-db,1,symbol,financeiroId,financialId,packages/db/src/semente-demo.ts:225,4,no,,,proposed,codex1,
packages-db-symbol-9d3db7d1,packages-db,1,symbol,roteadorServico,routerService,packages/db/src/schema/automacao.ts:146,8,no,,,proposed,codex1,
packages-db-symbol-9d98acac,packages-db,1,symbol,membroEquipe,memberTeam,packages/db/src/schema/identidade.ts:301,1,no,,,proposed,codex1,
packages-db-symbol-9e9205c6,packages-db,1,symbol,migrar,migrate,packages/db/src/migrar.ts:13,52,no,,,proposed,codex1,
packages-db-symbol-9ecd6916,packages-db,1,symbol,TIPOS_AUTENTICACAO_WEBHOOK,TYPES_AUTHENTICATION_WEBHOOK,packages/db/src/schema/automacao.ts:636,6,no,,,proposed,codex1,
packages-db-symbol-9f0c9e75,packages-db,1,symbol,atividade,activity,packages/db/src/schema/crm.ts:285,22,no,,,proposed,codex1,
packages-db-symbol-9fdcb552,packages-db,1,symbol,SENTIMENTOS,SENTIMENTS,packages/db/src/schema/monitoria.ts:247,5,no,,,proposed,codex1,
packages-db-symbol-a0b8d212,packages-db,1,symbol,PapelDeConta,RoleOfAccount,packages/db/src/schema/identidade.ts:180,4,no,,,proposed,codex1,
packages-db-symbol-a4ebd98a,packages-db,1,symbol,agendamentoConsulta,schedulingQuery,packages/db/src/schema/automacao.ts:542,1,no,,,proposed,codex1,
packages-db-symbol-a4ffa914,packages-db,1,symbol,esforcoConversa,effortConversation,packages/db/src/schema/gestao.ts:102,1,no,,,proposed,codex1,
packages-db-symbol-a54a39d1,packages-db,1,symbol,usuario,user,packages/db/src/schema/identidade.ts:150,347,no,,,proposed,codex1,
packages-db-symbol-a66308e2,packages-db,1,symbol,ESTADOS_AVALIACAO,STATES_EVALUATION,packages/db/src/schema/monitoria.ts:80,2,no,,,proposed,codex1,
packages-db-symbol-a6a5cdce,packages-db,1,symbol,papeisDeContaDados,papeisOfAccountData,packages/db/src/semente.ts:370,3,no,,,proposed,codex1,
packages-db-symbol-a84f1808,packages-db,1,symbol,ESTADOS_FLUXO,STATES_FLOW,packages/db/src/schema/automacao.ts:23,2,no,,,proposed,codex1,
packages-db-symbol-a8b3e68e,packages-db,1,symbol,conversaEtiqueta,conversationLabel,packages/db/src/schema/conversas.ts:504,14,no,,,proposed,codex1,
packages-db-symbol-aa674586,packages-db,1,symbol,canalEmailId,channelEmailId,packages/db/src/semente-demo.ts:237,3,no,,,proposed,codex1,
packages-db-symbol-abb0d5e9,packages-db,1,symbol,posicaoNoRoteador,positionInRouter,packages/db/src/schema/automacao.ts:193,1,no,,,proposed,codex1,
packages-db-symbol-acb032c6,packages-db,1,symbol,ESTADOS_ENTREGA_WEBHOOK,STATES_DELIVERY_WEBHOOK,packages/db/src/schema/automacao.ts:689,2,no,,,proposed,codex1,
