id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-tempo-real-dir-2ca346ea,packages-tempo-real,1,dir,packages/tempo-real/tests,packages/realtime/tests,packages/tempo-real/tests,0,no,,,approved,codex1,"GLOSSARY.md: tempo-real -> realtime (was time-real, token-level engine missed the compound entry)"
packages-tempo-real-dir-732260a2,packages-tempo-real,1,dir,packages/tempo-real/src,packages/realtime/src,packages/tempo-real/src,0,no,,,approved,codex1,"GLOSSARY.md: tempo-real -> realtime (was time-real, token-level engine missed the compound entry)"
packages-tempo-real-dir-a73abb1c,packages-tempo-real,1,dir,packages/tempo-real,packages/realtime,packages/tempo-real,0,no,,,approved,codex1,"GLOSSARY.md: tempo-real -> realtime (was time-real, token-level engine missed the compound entry)"
packages-tempo-real-file-403647e2,packages-tempo-real,1,file,tempo-real.test.ts,realtime.test.ts,packages/tempo-real/tests/tempo-real.test.ts,0,no,,,approved,codex1,"GLOSSARY.md: tempo-real -> realtime (was time-real, token-level engine missed the compound entry)"
packages-tempo-real-literal-value-3c1bee82,packages-tempo-real,1,literal-value,caiu,fell,packages/tempo-real/src/index.ts:55,23,no,,D-11,approved,codex1,
packages-tempo-real-literal-value-4196b501,packages-tempo-real,1,literal-value,ligado,connected,packages/tempo-real/src/index.ts:55,137,no,,D-11,approved,codex1,
packages-tempo-real-literal-value-dccd6b9f,packages-tempo-real,1,literal-value,ligando,connecting,packages/tempo-real/src/index.ts:55,8,no,,D-11,approved,codex1,
packages-tempo-real-package-35c97f1c,packages-tempo-real,4,package,@pipe/tempo-real,@pipe/realtime,packages/tempo-real/package.json:1,0,no,,,approved,codex1,"GLOSSARY.md: tempo-real -> realtime; aligned to infra-package-new-realtime (was time-real, token-level engine missed the compound entry)"
packages-tempo-real-symbol-0e9b91fb,packages-tempo-real,1,symbol,criar,create,packages/tempo-real/src/index.ts:106,235,no,,,approved,codex1,
packages-tempo-real-symbol-2d3accde,packages-tempo-real,1,symbol,ligacao,connection,packages/tempo-real/tests/tempo-real.test.ts:116,23,no,,,approved,codex1,
packages-tempo-real-symbol-5cabca03,packages-tempo-real,1,symbol,padraoCriarSocket,defaultCreateSocket,packages/tempo-real/src/index.ts:238,2,no,,,approved,codex1,
packages-tempo-real-symbol-6188c91b,packages-tempo-real,1,symbol,primeiro,first,packages/tempo-real/tests/tempo-real.test.ts:202,258,no,,,approved,codex1,
packages-tempo-real-symbol-6ed84022,packages-tempo-real,1,symbol,urlDoCanal,urlOfChannel,packages/tempo-real/src/index.ts:88,5,no,,,approved,codex1,
packages-tempo-real-symbol-7d904b9f,packages-tempo-real,1,symbol,estado,state,packages/tempo-real/src/index.ts:111,1269,no,,,approved,codex1,
packages-tempo-real-symbol-a1589d65,packages-tempo-real,1,symbol,criarSocket,createSocket,packages/tempo-real/tests/tempo-real.test.ts:39,14,no,,,approved,codex1,
packages-tempo-real-symbol-ba121382,packages-tempo-real,1,symbol,mudarEstado,changeState,packages/tempo-real/src/index.ts:115,4,no,,,approved,codex1,
packages-tempo-real-symbol-d6feca25,packages-tempo-real,1,symbol,OpcoesDaLigacao,OptionsOfConnection,packages/tempo-real/src/index.ts:67,2,no,,,approved,codex1,
packages-tempo-real-symbol-da410acb,packages-tempo-real,1,symbol,Ligacao,Connection,packages/tempo-real/src/index.ts:82,2,no,,,approved,codex1,
packages-tempo-real-symbol-e6e243d7,packages-tempo-real,1,symbol,inscricao,subscription,packages/tempo-real/src/index.ts:164,2,no,,,approved,codex1,
packages-tempo-real-symbol-e71ff9d3,packages-tempo-real,1,symbol,EstadoDaLigacao,StateOfConnection,packages/tempo-real/src/index.ts:55,5,no,,,approved,codex1,
packages-tempo-real-test-title-01503ff3,packages-tempo-real,1,test-title,entrega evento e IGNORA quadro de controle,Deliver event frames and ignore control frames,packages/tempo-real/tests/tempo-real.test.ts:96,0,no,,,approved,codex1,D-47 retranslated
packages-tempo-real-test-title-0cc4efa9,packages-tempo-real,1,test-title,ligação,Manage the real-time connection,packages/tempo-real/tests/tempo-real.test.ts:81,36,no,,,approved,codex1,D-47 retranslated
