id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-ui-dir-121c05f0,packages-ui,1,dir,packages/ui/src/componentes,,packages/ui/src/componentes,0,no,,,candidate,,
packages-ui-file-c7692ffa,packages-ui,1,file,aviso-encerramento.tsx,,packages/ui/src/componentes/aviso-encerramento.tsx,3,no,,,candidate,,
packages-ui-file-a8bd7f83,packages-ui,1,file,encerramento-sleepy.svg,,packages/ui/src/assets/encerramento-sleepy.svg,1,no,,,candidate,,
packages-ui-file-d4e749c7,packages-ui,1,file,encerramento-ticket.tsx,,packages/ui/src/componentes/encerramento-ticket.tsx,3,no,,,candidate,,
packages-ui-file-fac4f6ec,packages-ui,1,file,estrutura.tsx,,packages/ui/src/componentes/estrutura.tsx,2,no,,,candidate,,
packages-ui-file-652dc3e4,packages-ui,1,file,ilustracoes.tsx,,packages/ui/src/ilustracoes.tsx,2,no,,,candidate,,
packages-ui-file-eb5b5e31,packages-ui,1,file,regras-encerramento.ts,,packages/ui/src/regras-encerramento.ts,0,no,,,candidate,,
packages-ui-literal-value-89d10714,packages-ui,1,literal-value,busca,,packages/ui/src/ilustracoes.tsx:27,420,unknown,,,candidate,,
packages-ui-literal-value-6e970524,packages-ui,1,literal-value,concluido,,packages/ui/src/ilustracoes.tsx:27,17,unknown,,,candidate,,
packages-ui-literal-value-5e09a977,packages-ui,1,literal-value,erro,,packages/ui/src/componentes/primitivos.tsx:90,1478,unknown,,,candidate,,
packages-ui-literal-value-e1ff4d09,packages-ui,1,literal-value,erro,,packages/ui/src/ilustracoes.tsx:27,1478,unknown,,,candidate,,
packages-ui-literal-value-f63d2bb1,packages-ui,1,literal-value,vazio,,packages/ui/src/ilustracoes.tsx:27,290,unknown,,,candidate,,
packages-ui-symbol-64dcfc7a,packages-ui,1,symbol,Aplicacao,,packages/ui/src/componentes/estrutura.tsx:199,4,no,,,candidate,,
packages-ui-symbol-e9390450,packages-ui,1,symbol,AreaConfiguracoes,,packages/ui/src/componentes/estrutura.tsx:218,7,no,,,candidate,,
packages-ui-symbol-4e35e975,packages-ui,1,symbol,AvisoEncerramento,,packages/ui/src/componentes/aviso-encerramento.tsx:11,6,no,,,candidate,,
packages-ui-symbol-aa74a9a6,packages-ui,1,symbol,CartaoEncerramentoTicket,,packages/ui/src/componentes/encerramento-ticket.tsx:11,6,no,,,candidate,,
packages-ui-symbol-b4db618a,packages-ui,1,symbol,Cartao,,packages/ui/src/componentes/primitivos.tsx:226,46,no,,,candidate,,
packages-ui-symbol-5618eea9,packages-ui,1,symbol,Coluna,,packages/ui/src/componentes/tabela.tsx:16,49,no,,,candidate,,
packages-ui-symbol-abb7cdb3,packages-ui,1,symbol,ComponenteDeLink,,packages/ui/src/componentes/estrutura.tsx:47,8,no,,,candidate,,
packages-ui-symbol-2b4b172f,packages-ui,1,symbol,encerramentoPodeConfirmar,,packages/ui/src/regras-encerramento.ts:9,15,no,,,candidate,,
packages-ui-symbol-0f1b63f5,packages-ui,1,symbol,EstadoVazio,,packages/ui/src/componentes/primitivos.tsx:184,29,no,,,candidate,,
packages-ui-symbol-43b93192,packages-ui,1,symbol,EtiquetaDeEncerramento,,packages/ui/src/regras-encerramento.ts:1,11,no,,,candidate,,
packages-ui-symbol-4efc5e50,packages-ui,1,symbol,EVENTO_ENCERRAMENTO,,packages/ui/src/componentes/aviso-encerramento.tsx:5,4,no,,,candidate,,
packages-ui-symbol-4ff82c77,packages-ui,1,symbol,Ilustracao,,packages/ui/src/ilustracoes.tsx:39,22,no,,,candidate,,
packages-ui-symbol-01ba305e,packages-ui,1,symbol,iniciais,,packages/ui/src/componentes/primitivos.tsx:209,22,no,,,candidate,,
packages-ui-symbol-2993b7fc,packages-ui,1,symbol,ItemDeNavegacao,,packages/ui/src/componentes/estrutura.tsx:34,10,no,,,candidate,,
packages-ui-symbol-1146dfbb,packages-ui,1,symbol,LateralContexto,,packages/ui/src/componentes/estrutura.tsx:164,6,no,,,candidate,,
packages-ui-symbol-e50c2079,packages-ui,1,symbol,NomeDeEstado,,packages/ui/src/tema.ts:174,2,no,,,candidate,,
packages-ui-symbol-9fa9281a,packages-ui,1,symbol,NomeDeIlustracao,,packages/ui/src/ilustracoes.tsx:27,11,no,,,candidate,,
packages-ui-symbol-4b357cbf,packages-ui,1,symbol,primeira,,packages/ui/src/componentes/primitivos.tsx:211,377,no,,,candidate,,
packages-ui-symbol-d866d33e,packages-ui,1,symbol,PropsDeIlustracao,,packages/ui/src/ilustracoes.tsx:29,3,no,,,candidate,,
packages-ui-symbol-6042f483,packages-ui,1,symbol,semPonte,,packages/ui/verificar-tokens.mjs:40,1,no,,,candidate,,
packages-ui-ts-local-0e45ea16,packages-ui,1,ts-local,acoes,,packages/ui/src/componentes/primitivos.tsx:228,155,no,,,candidate,,
packages-ui-ts-local-3b0aa850,packages-ui,1,ts-local,ativa,,packages/ui/src/componentes/primitivos.tsx:113,340,no,,,candidate,,
packages-ui-ts-local-61dbbc45,packages-ui,1,ts-local,bloco,,packages/ui/verificar-tokens.mjs:58,665,no,,,candidate,,
packages-ui-ts-local-261f2101,packages-ui,1,ts-local,chaveDaLinha,,packages/ui/src/componentes/tabela.tsx:27,17,no,,,candidate,,
packages-ui-ts-local-6624d7fb,packages-ui,1,ts-local,coluna,,packages/ui/src/componentes/tabela.tsx:49,520,no,,,candidate,,
packages-ui-ts-local-5024ad67,packages-ui,1,ts-local,coluna,,packages/ui/src/componentes/tabela.tsx:57,520,no,,,candidate,,
packages-ui-ts-local-e36943ea,packages-ui,1,ts-local,erro,,packages/ui/src/componentes/encerramento-ticket.tsx:15,1478,no,,,candidate,,
packages-ui-ts-local-e8ab30a9,packages-ui,1,ts-local,estado,,packages/ui/verificar-tokens.mjs:77,1269,no,,,candidate,,
packages-ui-ts-local-53dccc19,packages-ui,1,ts-local,hrefConfiguracoes,,packages/ui/src/componentes/estrutura.tsx:125,4,no,,,candidate,,
packages-ui-ts-local-95a40ed7,packages-ui,1,ts-local,ilustracao,,packages/ui/src/componentes/primitivos.tsx:186,22,no,,,candidate,,
packages-ui-ts-local-db6ac088,packages-ui,1,ts-local,vazio,,packages/ui/src/componentes/tabela.tsx:29,290,no,,,candidate,,
packages-ui-ts-prop-21c74cc5,packages-ui,1,ts-prop,acoes,,packages/ui/src/componentes/primitivos.tsx:233,155,no,,,candidate,,
packages-ui-ts-prop-eac79596,packages-ui,1,ts-prop,ativa,,packages/ui/src/componentes/primitivos.tsx:103,340,no,,,candidate,,
packages-ui-ts-prop-c0326fbc,packages-ui,1,ts-prop,chaveDaLinha,,packages/ui/src/componentes/tabela.tsx:34,17,no,,,candidate,,
packages-ui-ts-prop-679ee6ee,packages-ui,1,ts-prop,chave,,packages/ui/src/componentes/primitivos.tsx:155,1153,no,,,candidate,,
packages-ui-ts-prop-b01aa98e,packages-ui,1,ts-prop,chave,,packages/ui/src/componentes/tabela.tsx:17,1153,no,,,candidate,,
packages-ui-ts-prop-cb1e789c,packages-ui,1,ts-prop,erro,,packages/ui/src/componentes/encerramento-ticket.tsx:24,1478,no,,,candidate,,
packages-ui-ts-prop-5bcd7215,packages-ui,1,ts-prop,hrefConfiguracoes,,packages/ui/src/componentes/estrutura.tsx:133,4,no,,,candidate,,
packages-ui-ts-prop-6d751baa,packages-ui,1,ts-prop,ilustracao,,packages/ui/src/componentes/primitivos.tsx:190,22,no,,,candidate,,
packages-ui-ts-prop-e908fc9b,packages-ui,1,ts-prop,obrigatoriaNoEncerramento,,packages/ui/src/regras-encerramento.ts:5,20,no,,,candidate,,
packages-ui-ts-prop-44bc699f,packages-ui,1,ts-prop,vazio,,packages/ui/src/componentes/tabela.tsx:37,290,no,,,candidate,,
