id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
ponte-app-d7fe49b5,ponte,4,app,ponte,bridge,apps/ponte,0,no,,D-04,proposed,codex2,
ponte-dir-0fa1b576,ponte,2,dir,apps/ponte,apps/bridge,apps/ponte,0,no,,,proposed,codex2,
ponte-dir-7bc5860a,ponte,2,dir,apps/ponte/src,apps/bridge/src,apps/ponte/src,0,no,,,proposed,codex2,
ponte-dir-b6d73236,ponte,2,dir,apps/ponte/tests,apps/bridge/tests,apps/ponte/tests,0,no,,,proposed,codex2,
ponte-file-6f5b570a,ponte,2,file,acoes.ts,apps/bridge/src/actions.ts,apps/ponte/src/acoes.ts,39,no,,,proposed,codex2,
ponte-file-922cf9b0,ponte,2,file,traducao.ts,apps/bridge/src/translation.ts,apps/ponte/src/traducao.ts,2,no,,,proposed,codex2,
ponte-file-95be5a3f,ponte,2,file,fluxo-padrao.ts,apps/bridge/src/flow-default.ts,apps/ponte/src/fluxo-padrao.ts,0,no,,,proposed,codex2,
ponte-file-c6b38cd9,ponte,2,file,traducao.test.ts,apps/bridge/tests/translation.test.ts,apps/ponte/tests/traducao.test.ts,0,no,,,proposed,codex2,
ponte-file-cd34f5de,ponte,2,file,fluxo-padrao.test.ts,apps/bridge/tests/flow-default.test.ts,apps/ponte/tests/fluxo-padrao.test.ts,1,no,,,proposed,codex2,
ponte-file-f0f4b97d,ponte,2,file,banco.ts,apps/bridge/src/database.ts,apps/ponte/src/banco.ts,12,no,,,proposed,codex2,
ponte-package-07e56c71,ponte,4,package,@pipe/ponte,@pipe/bridge,apps/ponte/package.json:1,0,no,,D-04,proposed,codex2,
ponte-symbol-0209700e,ponte,2,symbol,STATUS_ATENDENTE_BLIP,STATUS_AGENT_BLIP,apps/ponte/src/traducao.ts:38,3,no,,,proposed,codex2,
ponte-symbol-037ecf6d,ponte,2,symbol,comoDocumento,comoDocument,apps/ponte/src/traducao.ts:166,12,no,,,proposed,codex2,
ponte-symbol-0395ce55,ponte,2,symbol,comoDocumentos,comoDocuments,apps/ponte/src/traducao.ts:184,5,no,,,proposed,codex2,
ponte-symbol-0ba5c987,ponte,2,symbol,comoConta,comoAccount,apps/ponte/src/traducao.ts:198,9,no,,,proposed,codex2,
ponte-symbol-0c5e73f0,ponte,2,symbol,ROTA_ACOES_GLOBAIS,ROTA_ACTIONS_GLOBAL,apps/ponte/src/rotas.ts:95,2,no,,,proposed,codex2,
ponte-symbol-130d70cd,ponte,2,symbol,dados,data,apps/ponte/src/rotas.ts:183,669,no,,,proposed,codex2,
ponte-symbol-1d3f41b9,ponte,2,symbol,STATUS_POR_ESTADO,STATUS_BY_STATE,apps/ponte/src/traducao.ts:13,3,no,,,proposed,codex2,
ponte-symbol-1e787da6,ponte,2,symbol,resolverSessao,resolverSession,apps/ponte/src/servidor.ts:36,8,no,,,proposed,codex2,
ponte-symbol-206ac460,ponte,2,symbol,filaId,queueId,apps/ponte/src/acoes.ts:94,170,no,,,proposed,codex2,
ponte-symbol-2097488d,ponte,2,symbol,gravarFluxo,gravarFlow,apps/ponte/src/builder.ts:125,5,no,,,proposed,codex2,
ponte-symbol-279f8bb7,ponte,2,symbol,carregarGlobais,carregarGlobal,apps/ponte/src/builder.ts:102,5,no,,,proposed,codex2,
ponte-symbol-2c55fc4f,ponte,2,symbol,fluxoId,flowId,apps/ponte/src/builder.ts:103,504,no,,,proposed,codex2,
ponte-symbol-2cb0dcf6,ponte,2,symbol,fecharBanco,fecharDatabase,apps/ponte/src/banco.ts:39,35,no,,,proposed,codex2,
ponte-symbol-2df1541c,ponte,2,symbol,colecao,collection,apps/ponte/src/lime.ts:44,9,no,,,proposed,codex2,
ponte-symbol-2f585634,ponte,2,symbol,filas,queues,apps/ponte/src/rotas.ts:246,297,no,,,proposed,codex2,
ponte-symbol-3abb8ea1,ponte,2,symbol,ROTA_FLUXO_RASCUNHO,ROTA_FLOW_RASCUNHO,apps/ponte/src/rotas.ts:94,2,no,,,proposed,codex2,
ponte-symbol-3bd16114,ponte,2,symbol,bancoDono,databaseDono,apps/ponte/src/banco.ts:25,85,no,,,proposed,codex2,
ponte-symbol-3e1ef4b4,ponte,2,symbol,Contexto,Context,apps/ponte/src/rotas.ts:31,76,no,,,proposed,codex2,
ponte-symbol-471c6d33,ponte,2,symbol,conversaDaIdentidade,identityConversation,apps/ponte/src/acoes.ts:55,3,no,,,proposed,codex2,
