id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
workers-file-00a6420a,workers,2,file,agregacao.ts,aggregation.ts,apps/workers/src/agregacao.ts,1,no,,,proposed,codex1,
workers-file-13488114,workers,2,file,credenciais.test.ts,credentials.test.ts,apps/workers/tests/credenciais.test.ts,0,no,,,proposed,codex1,
workers-file-86ed81a1,workers,2,file,gerenciador-de-contatos.ts,manager-of-contacts.ts,apps/workers/src/gerenciador-de-contatos.ts,1,no,,,proposed,codex1,
workers-file-cf4c6514,workers,2,file,filas.ts,queues.ts,apps/workers/src/filas.ts,32,no,,,proposed,codex1,
workers-file-e447fdf0,workers,2,file,banco.ts,database.ts,apps/workers/src/banco.ts,12,no,,,proposed,codex1,
workers-file-e999225f,workers,2,file,midia.ts,media.ts,apps/workers/src/whatsapp/midia.ts,7,no,,,proposed,codex1,
workers-file-f422ecb7,workers,2,file,entrega.ts,delivery.ts,apps/workers/src/entrega.ts,3,no,,,proposed,codex1,
workers-file-facd35f7,workers,2,file,importacao-de-contatos.ts,import-of-contacts.ts,apps/workers/src/importacao-de-contatos.ts,8,no,,,proposed,codex1,
workers-job-name-8f0dde6c,workers,2,job-name,metrica-diaria,daily-metric,apps/workers/src/main.ts:75,4,no,,D-10,proposed,sonnet,
workers-job-name-ceacb869,workers,2,job-name,varredura-outbox,sweep-outbox,apps/workers/src/main.ts:68,8,no,,D-10,proposed,sonnet,
workers-queue-5508ad5a,workers,2,queue,pipe-entrada,pipe-inbound,apps/workers/src/filas.ts:11,24,no,,D-10,proposed,sonnet,
workers-queue-588e7283,workers,2,queue,pipe-importacao,pipe-import,apps/workers/src/filas.ts:101,12,no,,D-10,proposed,sonnet,
workers-queue-83adfdfd,workers,2,queue,pipe-agregacao,pipe-aggregation,apps/workers/src/filas.ts:13,5,no,,D-10,proposed,sonnet,
workers-queue-a3a6c0e5,workers,2,queue,pipe-dicionario-crm,pipe-crm-dictionary,apps/workers/src/filas.ts:84,5,no,,D-10,proposed,sonnet,
workers-queue-aa646349,workers,2,queue,pipe-espelho-crm,pipe-crm-mirror,apps/workers/src/filas.ts:14,6,no,,D-10,proposed,sonnet,
workers-queue-c1deed63,workers,2,queue,pipe-entrega,pipe-delivery,apps/workers/src/filas.ts:12,5,no,,D-10,proposed,sonnet,
workers-queue-cbe9142a,workers,2,queue,pipe-midia,pipe-media,apps/workers/src/filas.ts:15,6,no,,D-10,proposed,sonnet,
workers-queue-new-process-http,workers,2,queue,pipe-process-http,KEEP,apps/workers/src/filas.ts:17,0,unknown,,D-10,proposed,sonnet,
workers-queue-new-sla,workers,2,queue,pipe-sla,KEEP,apps/workers/src/filas.ts:16,0,unknown,,D-10,proposed,sonnet,
workers-symbol-01e192db,workers,2,symbol,mensagem,message,apps/workers/src/messenger.ts:6,1267,no,,,proposed,codex1,
workers-symbol-04d48d68,workers,2,symbol,filaEntrega,queueDelivery,apps/workers/src/main.ts:21,6,no,,,proposed,codex1,
workers-symbol-07350099,workers,2,symbol,validarMidia,validateMedia,apps/workers/src/whatsapp/midia.ts:102,7,no,,,proposed,codex1,
workers-symbol-0a2b5a3a,workers,2,symbol,JobEspelhoCrm,JobMirrorCrm,apps/workers/src/filas.ts:73,6,no,,,proposed,codex1,
workers-symbol-0a9e0a26,workers,2,symbol,lerVariaveis,readVariables,apps/workers/src/entrega.ts:388,7,no,,,proposed,codex1,"fixed: leftover PT token (dictionary gap: ler/texto/como/resultado/servir), gate 2 dry-run sweep"
workers-symbol-1350631e,workers,2,symbol,ConversaDoDia,ConversationOfDay,apps/workers/src/agregacao.ts:146,6,no,,,proposed,codex1,
