group,token,occurrences
backend,acesso,19
backend,acoes,9
backend,administracao,7
backend,agendamento,1
backend,agregacao,8
backend,agrupamento,2
backend,agrupamentos,1
backend,alteracoes,2
backend,amostragem,1
backend,analise,11
backend,andamento,5
backend,anexo,68
backend,anexos,15
backend,anotacoes,1
backend,aplicacao,2
backend,aprovacao,1
backend,armazenamento,15
backend,arquivado,2
backend,arquivo,42
backend,atendente,205
backend,atendentes,51
backend,atendimento,56
backend,ativa,63
backend,ativacao,2
backend,atividade,2
backend,atribuicao,6
backend,atribuicoes,1
backend,atuais,1
backend,autenticacao,56
backend,automacao,32
backend,autorizacao,15
backend,avaliacao,18
backend,avaliacoes,2
backend,banco,68
backend,bloco,36
backend,botoes,5
backend,brasileiro,2
backend,busca,18
backend,cadastro,8
backend,cadastros,6
backend,calibracao,4
backend,canais,66
backend,canal,398
backend,capacidade,24
backend,capacidades,2
backend,cartao,3
backend,cartoes,2
backend,casamento,1
backend,casca,2
backend,chave,198
backend,chaveiro,15
backend,checagem,2
backend,cidade,3
backend,classificacao,3
backend,codificacao,1
backend,coluna,13
backend,comparacao,1
backend,componente,4
backend,componentes,9
backend,comportamento,1
backend,comunicacao,9
backend,condicao,36
backend,condicionais,1
backend,condicoes,16
backend,conexoes,6
backend,configuracao,36
backend,configuracoes,19
backend,conhecimento,3
backend,construir,3
backend,construtor,2
backend,consulta,28
backend,conta,125
backend,contagem,16
backend,contas,9
backend,contato,261
backend,contatos,61
backend,contestacao,4
backend,contexto,48
backend,contrato,26
backend,controlador,50
backend,controladores,1
backend,conversa,368
backend,conversas,66
backend,convite,69
backend,credenciais,13
backend,criacao,6
backend,criar,128
backend,dados,109
backend,declaracao,2
backend,deduplicacao,1
backend,definicao,1
backend,demais,11
backend,descer,2
backend,descricao,38
backend,deslocamento,4
backend,desmontagem,2
backend,desqualificacao,1
backend,destino,63
backend,dicionario,32
backend,dinheiro,1
backend,direcao,27
backend,direcoes,1
backend,disposicao,1
backend,distribuicao,2
backend,documento,32
backend,dominio,81
backend,duracao,24
backend,echoes,1
backend,edicao,22
backend,encerramento,21
backend,encerramentos,3
backend,enfileira,1
backend,entidade,1
