file,line,raw,normalized,match
apps/api/src/autenticacao.ts,127,/fluxos/:*,/fluxos/:*,/v1/gestao/fluxos/:*/canal
apps/api/src/autenticacao.ts,157,Esta chave é de um fluxo e só vale nas rotas desse fluxo (/v1/gestao/fluxos/:id/…).,/v1/gestao/fluxos/:*,/v1/gestao/fluxos/:*/canal
apps/api/src/controladores/convites.ts,109,/v1/auth/google?convite=${encodeURIComponent(token)},/v1/auth/google,/v1/auth/google/retorno
apps/api/src/controladores/entrar.ts,51,/v1/auth,/v1/auth,/v1/auth/dev
apps/api/src/dominio/anexo.ts,149,${base}/v1/anexos/${anexoId}?expira=${expira}&assinatura=${assinatura},/v1/anexos/:*,/v1/anexos/:*
apps/api/src/dominio/sso.ts,370,/v1/auth/sso/${encodeURIComponent(slug)},/v1/auth/sso/:*,/v1/auth/sso/:*
apps/api/src/dominio/sso.ts,70,${base}/v1/auth/sso/retorno,/v1/auth/sso/retorno,/v1/auth/sso/:*
apps/api/src/eventos-ws.ts,48,/v1/eventos,/v1/eventos,ORPHAN
apps/api/src/provisionar.ts,238,"Para entrada por domínio, registre um em POST /v1/dominios e verifique o TXT.",/v1/dominios,/v1/dominios/:*/verificar
apps/api/src/provisionar.ts,257,POST /v1/dominios/${cliente.dominio.id}/verificar.,/v1/dominios/:*/verificar,/v1/dominios/:*/verificar
apps/api/src/provisionar.ts,260,O administrador já existe — convide-o por POST /v1/convites e mande o link.,/v1/convites,/v1/convites/:*
apps/api/src/servidor.ts,101,/v1/gestao/fluxos/:id/builder,/v1/gestao/fluxos/:*/builder,/v1/gestao/fluxos/:*/builder/versoes
apps/api/src/servidor.ts,111,/v1/gestao/contrato/certificados,/v1/gestao/contrato/certificados,/v1/gestao/contrato/certificados/:*/hosts/:*
apps/api/src/servidor.ts,75,/v1/anexos,/v1/anexos,/v1/anexos/:*
apps/api/src/servidor.ts,82,/v1/contatos/importacoes,/v1/contatos/importacoes,/v1/contatos/:*/etiquetas/:*
apps/api/src/servidor.ts,88,/v1/canais/whatsapp/:id/perfil,/v1/canais/whatsapp/:*/perfil,/v1/canais/whatsapp/:*/perfil
apps/api/src/servidor.ts,94,/v1/canais/whatsapp/:id/modelos,/v1/canais/whatsapp/:*/modelos,/v1/canais/whatsapp/:*/modelos/:*
apps/api/tests/analise.test.ts,158,/v1/gestao/fluxos/${fluxoId}/analise/dashboard?periodo=custom&de=${DIA_1}&ate=${DIA_1},/v1/gestao/fluxos/:*/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard
apps/api/tests/analise.test.ts,183,/v1/gestao/fluxos/${fluxoId}/analise/dashboard?periodo=custom&de=${semDado}&ate=${semDado},/v1/gestao/fluxos/:*/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard
apps/api/tests/analise.test.ts,193,/v1/gestao/fluxos/${fluxoId}/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard
apps/api/tests/analise.test.ts,200,/v1/gestao/fluxos/${fluxoId}/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard
apps/api/tests/analise.test.ts,205,/v1/gestao/fluxos/nao-e-um-uuid/analise/dashboard,/v1/gestao/fluxos/nao-e-um-uuid/analise/dashboard,/v1/gestao/fluxos/:*/analise/dashboard
apps/api/tests/analise.test.ts,215,/v1/gestao/fluxos/${fluxoId}/analise/visao-geral?de=${DIA_1}&ate=${DIA_1},/v1/gestao/fluxos/:*/analise/visao-geral,/v1/gestao/fluxos/:*/analise/visao-geral
apps/api/tests/analise.test.ts,232,/v1/gestao/fluxos/${fluxoId}/analise/jornada?de=${DIA_1}&ate=${DIA_1},/v1/gestao/fluxos/:*/analise/jornada,/v1/gestao/fluxos/:*/analise/jornada
apps/api/tests/analise.test.ts,247,/v1/gestao/fluxos/${fluxoId}/analise/jornada?de=${semDado}&ate=${semDado},/v1/gestao/fluxos/:*/analise/jornada,/v1/gestao/fluxos/:*/analise/jornada
apps/api/tests/analise.test.ts,257,/v1/gestao/fluxos/${fluxoId}/analise/log?limit=10,/v1/gestao/fluxos/:*/analise/log,/v1/gestao/fluxos/:*/analise/log
apps/api/tests/analise.test.ts,274,/v1/gestao/fluxos/${fluxoId}/analise/log?de=${DIA_1}&ate=${DIA_1}&direcao=entrada&tipo=imagem,/v1/gestao/fluxos/:*/analise/log,/v1/gestao/fluxos/:*/analise/log
apps/api/tests/analise.test.ts,284,/v1/gestao/fluxos/${fluxoId}/analise/log?direcao=nao-existe,/v1/gestao/fluxos/:*/analise/log,/v1/gestao/fluxos/:*/analise/log
apps/api/tests/analise.test.ts,293,/v1/gestao/fluxos/${fluxoId}/analise/log?limit=2,/v1/gestao/fluxos/:*/analise/log,/v1/gestao/fluxos/:*/analise/log
apps/api/tests/analise.test.ts,305,/v1/gestao/fluxos/${fluxoId}/analise/log?limit=2&cursor=${p1.page_info.end_cursor},/v1/gestao/fluxos/:*/analise/log,/v1/gestao/fluxos/:*/analise/log
apps/api/tests/analise.test.ts,319,/v1/gestao/fluxos/${fluxoId}/analise/log,/v1/gestao/fluxos/:*/analise/log,/v1/gestao/fluxos/:*/analise/log
apps/api/tests/anexos-multiplos.test.ts,127,${api.url}/v1/conversas/${conversaId}/mensagens/anexos,/v1/conversas/:*/mensagens/anexos,/v1/conversas/:*/mensagens/:*/reenviar
apps/api/tests/anexos-multiplos.test.ts,150,POST /v1/conversas/:id/mensagens/anexos,/v1/conversas/:*/mensagens/anexos,/v1/conversas/:*/mensagens/:*/reenviar
apps/api/tests/anexos-multiplos.test.ts,91,${api.url}/v1/anexos?nome=${encodeURIComponent(nome)},/v1/anexos,/v1/anexos/:*
apps/api/tests/anexos.test.ts,132,${api.url}/v1/anexos,/v1/anexos,/v1/anexos/:*
apps/api/tests/anexos.test.ts,192,/v1/anexos/${idOutro},/v1/anexos/:*,/v1/anexos/:*
apps/api/tests/anexos.test.ts,60,${api.url}/v1/anexos?nome=${encodeURIComponent(nome)},/v1/anexos,/v1/anexos/:*
apps/api/tests/builder-por-fluxo.test.ts,129,/v1/gestao/fluxos,/v1/gestao/fluxos,/v1/gestao/fluxos/:*/canal
apps/api/tests/builder-por-fluxo.test.ts,139,/v1/gestao/fluxos/${id}/builder,/v1/gestao/fluxos/:*/builder,/v1/gestao/fluxos/:*/builder/versoes
apps/api/tests/builder-por-fluxo.test.ts,141,/v1/gestao/fluxos/${id}/builder,/v1/gestao/fluxos/:*/builder,/v1/gestao/fluxos/:*/builder/versoes
apps/api/tests/builder-por-fluxo.test.ts,143,/v1/gestao/fluxos/${id}/builder/publicar,/v1/gestao/fluxos/:*/builder/publicar,/v1/gestao/fluxos/:*/builder/publicar
apps/api/tests/builder-por-fluxo.test.ts,145,/v1/gestao/fluxos/${id}/builder/versoes,/v1/gestao/fluxos/:*/builder/versoes,/v1/gestao/fluxos/:*/builder/versoes
apps/api/tests/builder-por-fluxo.test.ts,147,/v1/gestao/fluxos/${id}/builder/versoes/${versao}/restaurar,/v1/gestao/fluxos/:*/builder/versoes/:*/restaurar,/v1/gestao/fluxos/:*/builder/versoes/:*/restaurar
apps/api/tests/builder-por-fluxo.test.ts,298,GET /v1/gestao/fluxos/:id/builder,/v1/gestao/fluxos/:*/builder,/v1/gestao/fluxos/:*/builder/versoes
apps/api/tests/builder-por-fluxo.test.ts,343,${api.url}/v1/gestao/fluxos/${id}/builder,/v1/gestao/fluxos/:*/builder,/v1/gestao/fluxos/:*/builder/versoes
apps/api/tests/builder-por-fluxo.test.ts,348,PUT /v1/gestao/fluxos/:id/builder,/v1/gestao/fluxos/:*/builder,/v1/gestao/fluxos/:*/builder/versoes
apps/api/tests/builder-por-fluxo.test.ts,436,POST /v1/gestao/fluxos/:id/builder/publicar,/v1/gestao/fluxos/:*/builder/publicar,/v1/gestao/fluxos/:*/builder/publicar
