file,line,kind,token,snippet,category,exception_ref
.dockerignore,1,comment,,# O contexto de build de toda imagem do Pipe é a raiz do monorepo — é a única,,
.dockerignore,5,comment,,"# Cada aplicativo tem ainda o seu `apps/<app>/Dockerfile.dockerignore`, que o",,
.dockerignore,6,comment,,# BuildKit usa NO LUGAR deste e corta também os aplicativos irmãos. Este aqui é,,
.dockerignore,7,comment,,# o piso: vale no builder clássico e em `docker build .` na mão.,,
.dockerignore,9,comment,,# Nunca vão para dentro da imagem: são reconstruídos no estágio de build.,,
.dockerignore,16,comment,,# Segredo. `apps/gestao/.env` e `apps/crm/.env` estão versionados com credencial,,
.dockerignore,18,comment,,"# produção do contêiner, porque o Next carrega `.env` antes de `process.env`.",,
.dockerignore,27,comment,,# Não entram em imagem nenhuma.,,
apps/api/Dockerfile,4,comment,,"# node:22-alpine, não 20: o `engines` da raiz exige `>=22` (o README ainda diz 20,",,
apps/api/Dockerfile,5,comment,,# está desatualizado) e o pnpm recusa instalar fora do intervalo. Alpine porque,,
apps/api/Dockerfile,6,comment,,# nenhuma dependência daqui é nativa — `pg` é JavaScript puro e o `pg-native`,,
apps/api/Dockerfile,7,comment,,"# opcional não está instalado —, então musl não custa nada e corta ~130 MB.",,
apps/api/Dockerfile,17,comment,,"# Só os `package.json` primeiro: enquanto nenhum mudar, esta camada e o",,
apps/api/Dockerfile,18,comment,,"# `pnpm install` inteiro vêm do cache, mesmo que todo o código-fonte tenha",,
apps/api/Dockerfile,19,comment,,# mudado. Os manifestos dos aplicativos que a API não usa entram do mesmo jeito,,
apps/api/Dockerfile,21,comment,,"# faltar um, o pnpm diz que o lockfile está desatualizado e para.",,
apps/api/Dockerfile,26,identifier,gestao,COPY apps/gestao-vite/package.json apps/gestao-vite/,,
apps/api/Dockerfile,29,identifier,autenticacao,COPY packages/autenticacao/package.json packages/autenticacao/,,
apps/api/Dockerfile,37,comment,,"# `@pipe/api...` = a API e as dependências dela no workspace, e nada mais: o Next",,
apps/api/Dockerfile,38,comment,,# e o React dos três front-ends nem chegam a ser baixados.,,
apps/api/Dockerfile,43,comment,,# `packages` inteiro em vez dos três ou quatro que a API usa hoje: o grafo muda,,
apps/api/Dockerfile,45,comment,,"# silêncio. Os aplicativos irmãos, que são o peso de verdade, continuam de fora.",,
apps/api/Dockerfile,50,comment,,"# `migrar.ts` importa `dotenv/config`, e `dotenv` é devDependency do @pipe/db.",,
apps/api/Dockerfile,51,comment,,# Sem esta cópia o serviço `migrar` do compose morre no primeiro import — e ele,,
apps/api/Dockerfile,52,comment,,"# roda ANTES do código novo subir, então a publicação inteira para.",,
apps/api/Dockerfile,54,comment,,"# Fica só o que a imagem final precisa: `dist/`, `package.json` e as migrations",,
apps/api/Dockerfile,55,comment,,"# do @pipe/db. Código-fonte, teste e config de build não entram em imagem.",,
apps/api/Dockerfile,57,identifier,semente,\( -name src -o -name tests -o -name semente -o -name node_modules \,,
apps/api/Dockerfile,62,comment,,# --- node_modules de produção ----------------------------------------------,,
apps/api/Dockerfile,63,comment,,"# Instalação separada, em árvore limpa e sem código-fonte nenhum. É mais barata",,
apps/api/Dockerfile,64,comment,,# do que parece: a store em cache resolve quase tudo por hardlink.,,
apps/api/Dockerfile,66,comment,,# `pnpm deploy` seria o caminho óbvio e NÃO serve aqui: ele empacota os pacotes,,
apps/api/Dockerfile,67,comment,,"# do workspace com as regras do `npm pack`, que respeitam o `.gitignore` da raiz",,
apps/api/Dockerfile,68,comment,,# — e lá `dist/` está ignorado. O resultado é uma imagem que carrega o `src/` de,,
apps/api/Dockerfile,70,comment,,# para descobrir; está escrito aqui para não custar uma segunda.,,
apps/api/Dockerfile,76,comment,,"# Sem pnpm, sem corepack, sem código-fonte, sem devDependencies.",,
apps/api/Dockerfile,80,comment,,# O layout do workspace é preservado de propósito: o pnpm liga,,
apps/api/Dockerfile,81,comment,,"# `apps/api/node_modules/@pipe/core` por symlink relativo até `packages/core`, e",,
apps/api/Dockerfile,82,comment,,# achatar os diretórios quebraria essa resolução.,,
apps/api/Dockerfile,88,comment,,# `node` (uid 1000) já vem na imagem oficial; criar outro usuário seria trabalho à toa.,,
apps/api/Dockerfile,93,comment,,# A API ainda não expõe `/saude` (pendência 1 do infra/README) e este arquivo não,,
apps/api/Dockerfile,94,comment,,"# pode inventá-la. Até lá o teste é ""o servidor HTTP responde alguma coisa"":",,
apps/api/Dockerfile,95,comment,,# aceita o 404 do Nest na raiz e reprova 5xx e conexão recusada. É menos do que,,
apps/api/Dockerfile,96,comment,,"# um /saude de verdade, e é honesto sobre isso.",,
apps/api/package.json,1,package-script,fluxo,importar:fluxo,,
apps/api/package.json,1,package-script,importar,importar:fluxo,,
apps/api/package.json,1,package-script,provisionar,provisionar,,
apps/api/src/app.modulo.ts,3,identifier,chave,import { GuardaChaveApi } from './autenticacao.js';,,
apps/api/src/app.modulo.ts,3,identifier,guarda,import { GuardaChaveApi } from './autenticacao.js';,,
apps/api/src/app.modulo.ts,4,identifier,guarda,import { GuardaSessao } from './sessao.js';,,
apps/api/src/app.modulo.ts,4,identifier,sessao,import { GuardaSessao } from './sessao.js';,,
apps/api/src/app.modulo.ts,5,identifier,anexos,import { ControladorAnexos } from './controladores/anexos.js';,,
apps/api/src/app.modulo.ts,5,identifier,controlador,import { ControladorAnexos } from './controladores/anexos.js';,,
apps/api/src/app.modulo.ts,6,identifier,canais,import { ControladorCanais } from './controladores/canais.js';,,
apps/api/src/app.modulo.ts,6,identifier,controlador,import { ControladorCanais } from './controladores/canais.js';,,
apps/api/src/app.modulo.ts,7,identifier,controlador,import { ControladorConversas } from './controladores/conversas.js';,,
apps/api/src/app.modulo.ts,7,identifier,conversas,import { ControladorConversas } from './controladores/conversas.js';,,
apps/api/src/app.modulo.ts,8,identifier,controlador,import { ControladorCrm } from './controladores/crm.js';,,
apps/api/src/app.modulo.ts,9,identifier,controlador,import { ControladorDesk } from './controladores/desk.js';,,
apps/api/src/app.modulo.ts,11,identifier,atendentes,"ControladorAtendentes,",,
apps/api/src/app.modulo.ts,11,identifier,controlador,"ControladorAtendentes,",,
apps/api/src/app.modulo.ts,12,identifier,contatos,"ControladorContatos,",,
apps/api/src/app.modulo.ts,12,identifier,controlador,"ControladorContatos,",,
apps/api/src/app.modulo.ts,13,identifier,controlador,"ControladorFilas,",,
apps/api/src/app.modulo.ts,13,identifier,filas,"ControladorFilas,",,
apps/api/src/app.modulo.ts,15,identifier,controlador,"import { ControladorConvites, ControladorDominios } from './controladores/convites.js';",,
apps/api/src/app.modulo.ts,16,identifier,controlador,"import { ControladorEntrada, ControladorEu } from './controladores/entrar.js';",,
apps/api/src/app.modulo.ts,16,identifier,entrada,"import { ControladorEntrada, ControladorEu } from './controladores/entrar.js';",,
apps/api/src/app.modulo.ts,18,identifier,controlador,"ControladorEtiquetas,",,
apps/api/src/app.modulo.ts,19,identifier,controlador,"ControladorEtiquetasDaConversa,",,
apps/api/src/app.modulo.ts,19,identifier,conversa,"ControladorEtiquetasDaConversa,",,
apps/api/src/app.modulo.ts,20,identifier,contato,"ControladorEtiquetasDoContato,",,
apps/api/src/app.modulo.ts,20,identifier,controlador,"ControladorEtiquetasDoContato,",,
apps/api/src/app.modulo.ts,22,identifier,analise,import { ControladorGestaoAnalise } from './controladores/gestao-analise.js';,,
apps/api/src/app.modulo.ts,22,identifier,controlador,import { ControladorGestaoAnalise } from './controladores/gestao-analise.js';,,
apps/api/src/app.modulo.ts,22,identifier,gestao,import { ControladorGestaoAnalise } from './controladores/gestao-analise.js';,,
apps/api/src/app.modulo.ts,23,identifier,controlador,import { ControladorGestaoBuilder } from './controladores/gestao-builder.js';,,
apps/api/src/app.modulo.ts,23,identifier,gestao,import { ControladorGestaoBuilder } from './controladores/gestao-builder.js';,,
apps/api/src/app.modulo.ts,24,identifier,cadastros,import { ControladorGestaoCadastros } from './controladores/gestao-cadastros.js';,,
apps/api/src/app.modulo.ts,24,identifier,controlador,import { ControladorGestaoCadastros } from './controladores/gestao-cadastros.js';,,
apps/api/src/app.modulo.ts,24,identifier,gestao,import { ControladorGestaoCadastros } from './controladores/gestao-cadastros.js';,,
apps/api/src/app.modulo.ts,25,identifier,conta,import { ControladorGestaoConta } from './controladores/gestao-conta.js';,,
apps/api/src/app.modulo.ts,25,identifier,controlador,import { ControladorGestaoConta } from './controladores/gestao-conta.js';,,
apps/api/src/app.modulo.ts,25,identifier,gestao,import { ControladorGestaoConta } from './controladores/gestao-conta.js';,,
apps/api/src/app.modulo.ts,26,identifier,controlador,import { ControladorGestaoEquipe } from './controladores/gestao-equipe.js';,,
apps/api/src/app.modulo.ts,26,identifier,gestao,import { ControladorGestaoEquipe } from './controladores/gestao-equipe.js';,,
apps/api/src/app.modulo.ts,27,identifier,controlador,import { ControladorGestaoFluxo } from './controladores/gestao-fluxo.js';,,
apps/api/src/app.modulo.ts,27,identifier,fluxo,import { ControladorGestaoFluxo } from './controladores/gestao-fluxo.js';,,
apps/api/src/app.modulo.ts,27,identifier,gestao,import { ControladorGestaoFluxo } from './controladores/gestao-fluxo.js';,,
apps/api/src/app.modulo.ts,28,identifier,controlador,import { ControladorGestaoIntegracoes } from './controladores/gestao-integracoes.js';,,
apps/api/src/app.modulo.ts,28,identifier,gestao,import { ControladorGestaoIntegracoes } from './controladores/gestao-integracoes.js';,,
