id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
api-symbol-8b30b526,api,2,symbol,dominio,domain,apps/api/src/provisionar.ts:197,476,no,,,proposed,codex1,
api-test-title-54d57820,api,2,test-title,"webhook, entrada e saída","webhook, inbound and output",apps/api/tests/instagram.test.ts:212,0,no,,,proposed,codex1,
api-ts-local-ad2eefeb,api,2,ts-local,usuarios,users,apps/api/tests/cadastros-atendimento.test.ts:45,36,no,,,proposed,codex1,
api-ts-local-56639dea,api,2,ts-local,subirMidia,upMedia,apps/api/src/dominio/whatsapp/modelos.ts:415,3,no,,,proposed,codex1,
api-ts-local-90b3ad8f,api,2,ts-local,fecharBanco,closeDatabase,apps/api/tests/canais.test.ts:17,35,no,,,proposed,codex1,
api-symbol-03817f7b,api,2,symbol,criarMotivoDePausa,createReasonOfPause,apps/api/tests/desk-acoes.test.ts:78,4,no,,,proposed,codex1,
api-ts-prop-016c267a,api,2,ts-prop,autenticacao,authentication,apps/api/src/dominio/gestao/comunicacao.ts:36,181,no,,,proposed,codex1,
api-file-5eb1f490,api,2,file,contas.ts,accounts.ts,apps/api/src/controladores/contas.ts,2,no,,,proposed,codex1,
api-ts-prop-b5393030,api,2,ts-prop,autenticacao,authentication,apps/api/tests/integracoes.test.ts:505,181,no,,,proposed,codex1,
api-ts-prop-6c6830fa,api,2,ts-prop,duracaoSugeridaMin,durationSuggestedMin,apps/api/src/dominio/gestao/cadastros.ts:1539,34,no,,,proposed,codex1,
api-symbol-82560a68,api,2,symbol,sessaoAtendente,sessionAgent,apps/api/tests/etiquetas.test.ts:35,82,no,,,proposed,codex1,
api-error-code-311d4d4a,api,2,error-code,boas_vindas_mensagem,welcome_vindas_message,apps/api/src/dominio/gestao/configuracao-do-fluxo.ts:119,1,unknown,,,proposed,codex1,
api-endpoint-ab142271,api,2,endpoint,/v1/gestao/fluxos/:*/analise/mensagens-ativas,/v1/management/flows/:id/analytics/messages-active,apps/api/src/controladores/gestao-analise.ts:140,0,no,,,proposed,codex1,
api-literal-value-b52f5cf6,api,2,literal-value,fila,queue,apps/api/src/dominio/gestao/atendimento.ts:107,993,unknown,,,proposed,codex1,
api-symbol-f8fc41cb,api,2,symbol,opcoes,options,apps/api/src/dominio/whatsapp/modelos.ts:376,157,no,,,proposed,codex1,
api-symbol-17139958,api,2,symbol,GuardaChaveApi,ApiKeyGuard,apps/api/src/autenticacao.ts:171,5,no,,D-05,proposed,sonnet,
api-symbol-04c4afd0,api,2,symbol,variaveisPadrao,variablesDefault,apps/api/tests/gerar-fixtures-jsonb.helper.ts:357,2,no,,,proposed,codex1,
api-ts-local-267609b5,api,2,ts-local,execucaoRows,executionRows,apps/api/tests/gerar-fixtures-jsonb.helper.ts:105,2,no,,,proposed,codex1,
api-ts-local-1e37579b,api,2,ts-local,paginaId,pageId,apps/api/src/dominio/messenger/cliente-graph.ts:11,35,no,,,proposed,codex1,
api-test-title-01823466,api,2,test-title,"grava objetos e campos no formato do Twenty, casando por name","writes objects and fields in format of Twenty, casando by name",apps/api/tests/dicionario-crm.test.ts:175,0,no,,,proposed,codex1,
api-ts-prop-f0f3b412,api,2,ts-prop,roteador,router,apps/api/src/dominio/fluxo.ts:75,387,no,,,proposed,codex1,
api-ts-prop-fa0becc7,api,2,ts-prop,fluxo_id,flowId,apps/api/src/controladores/canais.ts:137,65,no,,,proposed,codex1,
api-symbol-df604d49,api,2,symbol,regraFilaViva,ruleQueueViva,apps/api/src/dominio/gestao/cadastros.ts:922,4,no,,,proposed,codex1,
api-ts-local-27f5b5c8,api,2,ts-local,payloadDeMensagem,payloadOfMessage,apps/api/tests/builder-por-fluxo.test.ts:18,20,no,,,proposed,codex1,
api-ts-prop-b1651b5d,api,2,ts-prop,fataisReprovados,fatalRejecteds,apps/api/src/dominio/gestao/monitoria.ts:269,9,no,,,proposed,codex1,
api-ts-local-96d3b7d7,api,2,ts-local,canalId,channelId,apps/api/src/controladores/webhooks-whatsapp.ts:28,387,no,,,proposed,codex1,
api-symbol-a638fd37,api,2,symbol,porFila,byQueue,apps/api/src/dominio/gestao/cadastros.ts:134,10,no,,,proposed,codex1,
api-symbol-e2a9d5b2,api,2,symbol,classificarEstado,classificarState,apps/api/src/dominio/fluxo.ts:988,4,no,,,proposed,codex1,
api-ts-local-ff9421cd,api,2,ts-local,requisicao,request,apps/api/src/controladores/sso.ts:115,450,no,,,proposed,codex1,
api-symbol-8fe276c8,api,2,symbol,ControladorDesk,DeskController,apps/api/src/controladores/desk.ts:67,3,no,,D-05,proposed,sonnet,
api-ts-prop-390f2421,api,2,ts-prop,atendente_nome,agentName,apps/api/src/dominio/desk/consultas.ts:435,10,no,,,proposed,codex1,
api-symbol-0bcaf518,api,2,symbol,erro,error,apps/api/src/dominio/whatsapp/cliente-graph.ts:275,1478,no,,,proposed,codex1,
api-symbol-3b3b840a,api,2,symbol,ErroPipe,PipeError,apps/api/src/erros.ts:13,243,no,,D-05,proposed,sonnet,
api-symbol-313043b5,api,2,symbol,contatos,contacts,apps/api/tests/mensagens-ativas.test.ts:247,438,no,,,proposed,codex1,
api-symbol-97618351,api,2,symbol,PedidoDeCadastroEmbutido,RequestOfRegistrationEmbutido,apps/api/src/dominio/whatsapp/cadastro-embutido.ts:29,2,no,,,proposed,codex1,
api-ts-prop-84cc5c43,api,2,ts-prop,arquivo_cifrado,fileEncrypted,apps/api/tests/contrato.test.ts:443,9,no,,,proposed,codex1,
api-error-code-86be0bc8,api,2,error-code,canal_sem_credencial,channel_without_credential,apps/api/src/dominio/messenger/canal.ts:39,6,unknown,,,proposed,codex1,
api-ts-local-9267cd24,api,2,ts-local,semear,seed,apps/api/tests/instagram.test.ts:15,55,no,,,proposed,codex1,
api-symbol-d971bf98,api,2,symbol,excluirModelo,deleteTemplate,apps/api/src/controladores/canais.ts:250,4,no,,,proposed,codex1,
api-ts-local-ddcd9547,api,2,ts-local,requisicao,request,apps/api/src/controladores/mensagens-ativas.ts:49,450,no,,,proposed,codex1,
api-test-title-f35c93e4,api,2,test-title,recusa transição inválida — encerrar o que já está encerrado,refuses transition invalid — close o that already this encerrado,apps/api/tests/conversa-eventos.test.ts:168,0,no,,,proposed,codex1,
api-symbol-bdedcb70,api,2,symbol,verificarDaConta,checkOfAccount,apps/api/src/controladores/webhooks-whatsapp.ts:100,1,no,,,proposed,codex1,
api-error-code-a99d5432,api,2,error-code,contato_telefone_invalido,contact_phone_invalid,apps/api/src/controladores/catalogo.ts:193,2,unknown,,,proposed,codex1,
api-ts-prop-92954c7c,api,2,wire-key,destino_url,destinationUrl,apps/api/src/dominio/rastreador-de-cliques.ts:134,4,no,,D-09,proposed,codex1,
api-ts-local-7f481c89,api,2,ts-local,atendenteId,agentId,apps/api/src/dominio/desk/acoes.ts:102,217,no,,,proposed,codex1,
api-symbol-47b942af,api,2,symbol,ContatoDaLista,ContactOfList,apps/api/src/dominio/desk/consultas.ts:504,11,no,,,proposed,codex1,
api-test-title-74295893,api,2,test-title,"escopo de fila vence o de tenant, mesmo cadastrado depois","scope of queue expires o of tenant, same registered after",apps/api/tests/prioridade.test.ts:45,0,no,,,proposed,codex1,
api-test-title-5eb7cb5c,api,2,test-title,o atendente responde pela API e a mensagem nasce pendente no outbox,o agent responde by API and a message is created pending in outbox,apps/api/tests/ponta-a-ponta.test.ts:163,0,no,,,proposed,codex1,
api-ts-local-bba5abaf,api,2,ts-local,sincronizarContato,syncContact,apps/api/tests/twenty.test.ts:21,8,no,,,proposed,codex1,
api-ts-local-917fcba7,api,2,ts-local,usuarioId,userId,apps/api/tests/importacao.test.ts:261,604,no,,,proposed,codex1,
api-metric-95dd604a,api,2,metric,pipe_fila_profundidade,pipe_queue_depth,apps/api/src/metricas.ts:53,10,no,,D-38,proposed,sonnet,
api-symbol-878a67d7,api,2,symbol,porAlvo,byTarget,apps/api/src/dominio/gestao/sla-motor.ts:73,1,no,,,proposed,codex1,
api-symbol-622b836d,api,2,symbol,canais,channels,apps/api/src/dominio/gestao/cabecalho.ts:20,243,no,,,proposed,codex1,
api-ts-prop-750751e2,api,2,ts-prop,estado,state,apps/api/src/dominio/status-atendente.ts:32,1269,no,,,proposed,codex1,
api-ts-local-d06097c4,api,2,ts-local,requisicao,request,apps/api/src/controladores/gestao-builder.ts:41,450,no,,,proposed,codex1,
api-ts-local-06a6b660,api,2,ts-local,chave,key,apps/api/src/webhooks-saida.ts:137,1153,no,,,proposed,codex1,
api-test-title-14c837e7,api,2,test-title,"exige `etiqueta_id`, e recusa etiqueta de escopo contato numa conversa","exige `label_id`, and refuses label of scope contact numa conversation",apps/api/tests/etiquetas.test.ts:247,0,no,,,proposed,codex1,
api-endpoint-d9e36b61,api,2,endpoint,/v1/gestao/regras/prioridade/:*,/v1/management/rules/priority/:id,apps/api/src/controladores/gestao-cadastros.ts:429,0,no,,,proposed,codex1,
api-ts-prop-56c04491,api,2,ts-prop,destino,destination,apps/api/src/dominio/rastreador-de-cliques.ts:39,303,no,,,proposed,codex1,
api-literal-value-58ff5374,api,2,literal-value,documento,document,apps/api/src/dominio/gestao/comunicacao.ts:46,217,unknown,,,proposed,codex1,
api-symbol-11322048,api,2,symbol,mensagemSaidaId,messageOutputId,apps/api/tests/ponta-a-ponta.test.ts:110,11,no,,,proposed,codex1,
api-endpoint-7d79ad05,api,2,endpoint,/v1/gestao/atendentes/permissoes,/v1/management/agents/permissions,apps/api/src/controladores/gestao-cadastros.ts:461,0,no,,,proposed,codex1,
api-ts-prop-b9260ba3,api,2,ts-prop,conversasSemAtendente,conversationsWithoutAgent,apps/api/src/dominio/gestao/esforco.ts:51,3,no,,,proposed,codex1,
