id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
css-css-class-f322d289,css,3,css-class,cf-chave-coluna,cf-key-column,apps/gestao-vite/src/paginas/fluxo/configuracoes/configuracoes.css:755,4,no,,,proposed,codex1,
css-css-var-63fa455f,css,3,css-var,--d-trilho-vigor,--d-rail-strength,apps/desk-vite/src/estilos/globais.css:68,6,no,,,proposed,codex1,
css-css-var-2a90b064,css,3,css-var,--p-erro-conteudo,--p-error-content,apps/gestao-vite/src/paginas/builder/editor.css:620,82,no,,,proposed,codex1,
css-css-class-07caba89,css,3,css-class,ma-filtro-template,ma-filter-template,apps/gestao-vite/src/paginas/fluxo/analise/mensagens-ativas/mensagens-ativas.css:769,1,no,,,proposed,codex1,
css-css-class-33237fe0,css,3,css-class,tbl-busca,tbl-search,apps/gestao-vite/src/paginas/operacao/atendimento.css:1076,1,no,,,proposed,codex1,
css-css-class-43cbb1fe,css,3,css-class,cf-chave,cf-key,apps/gestao-vite/src/paginas/fluxo/configuracoes/configuracoes.css:926,1,no,,,proposed,codex1,
css-css-class-34f3ab4f,css,3,css-class,bl-versoes,bl-versions,apps/gestao-vite/src/paginas/builder.css:403,0,no,,,proposed,codex1,
css-css-class-fcdcd0d5,css,3,css-class,listagem,listing,apps/crm/src/app/globais.css:836,34,no,,,proposed,codex1,
css-css-class-30a692aa,css,3,css-class,cartao-rel,card-rel,apps/gestao-vite/src/paginas/operacao/atendimento.css:361,29,no,,,proposed,codex1,
css-css-class-1e522614,css,3,css-class,ct-ticket-acoes,ct-ticket-actions,apps/gestao-vite/src/paginas/fluxo/contatos/contatos.css:664,1,no,,,proposed,codex1,
css-css-class-84f94eb0,css,3,css-class,dk-ativa-ajuda,dk-active-help,apps/desk-vite/src/estilos/globais.css:3531,1,no,,,proposed,codex1,
css-css-class-9f01e063,css,3,css-class,ct-informacoes,ct-information,apps/gestao-vite/src/paginas/fluxo/contatos/contatos.css:446,1,no,,,proposed,codex1,
css-css-class-a111df76,css,3,css-class,colunas-painel,columns-panel,apps/crm/src/app/globais.css:1222,1,no,,,proposed,codex1,"glossary-exception:painel-application (CSS panel component, not the module/route sense)"
css-css-class-d85cb6e1,css,3,css-class,mon-previa-compositor,mon-preview-composer,apps/gestao-vite/src/paginas/operacao/atendimento.css:827,1,no,,,proposed,codex1,
css-css-class-f2d86a04,css,3,css-class,selecao-controle,selection-control,apps/gestao-vite/src/estilos/globais.css:1163,1,no,,,proposed,codex1,
css-css-class-bbcf176a,css,3,css-class,entrar-alerta,login-alert,apps/desk-vite/src/estilos/globais.css:2618,3,no,,,proposed,codex1,
css-css-var-d715285d,css,3,css-var,--da-passagem,--da-transition,apps/gestao-vite/src/paginas/fluxo/analise/dashboard/dashboard.css:302,3,no,,,proposed,codex1,
css-css-class-9fd5f8e0,css,3,css-class,dk-trilho-avatar,dk-rail-avatar,apps/desk-vite/src/estilos/globais.css:210,1,no,,,proposed,codex1,
