id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
crm-ts-prop-7cb4d240,crm,3,ts-prop,contaId,accountId,apps/crm/src/lib/contatos.ts:117,27,no,,,proposed,codex2,
crm-ts-local-a56366a9,crm,3,ts-local,dados,data,apps/crm/src/lib/configuracoes-dados.ts:986,669,no,,,proposed,codex2,
crm-literal-value-543535cc,crm,3,literal-value,selecao,KEEP,apps/crm/src/lib/configuracoes-comum.ts:113,34,unknown,,,proposed,codex2,"glossary-exception: persisted classification unresolved (01-08), deferred to STD-06"
crm-front-route-2ea1e404,crm,3,front-route,/configuracoes/membros,/settings/members,apps/crm/src/app/configuracoes/membros/page.tsx,6,no,,,proposed,codex2,
crm-ts-local-79ec9dcc,crm,3,ts-local,coluna,column,apps/crm/src/componentes/redimensionar.ts:107,520,no,,,proposed,codex2,
crm-ts-prop-150a12ed,crm,3,ts-prop,chave,key,apps/crm/src/lib/configuracoes-dados.ts:719,1153,no,,,proposed,codex2,
crm-ts-local-46d4940a,crm,3,ts-local,dados,data,apps/crm/src/lib/configuracoes-dados.ts:130,669,no,,,proposed,codex2,
crm-ts-prop-a6eb586f,crm,3,ts-prop,convite,invitation,apps/crm/src/lib/sessao.ts:160,338,no,,,proposed,codex2,
crm-symbol-976b3b05,crm,3,symbol,CHAVE_TEMA,KEY_TEMA,apps/crm/src/lib/configuracoes-comum.ts:27,12,no,,,proposed,codex2,
crm-symbol-d01e1b5f,crm,3,symbol,versoes,versions,apps/crm/semente/semente-crm.ts:477,32,no,,,proposed,codex2,
crm-symbol-0fc44bc2,crm,3,symbol,PaginaCampos,PageFields,apps/crm/src/app/configuracoes/campos/page.tsx:94,1,no,,,proposed,codex2,
crm-ts-prop-ce338957,crm,3,ts-prop,cartoes,cards,apps/crm/src/lib/funil.ts:34,39,no,,,proposed,codex2,
crm-test-title-12e2f1e4,crm,3,test-title,o catálogo de escopos não divergiu de apps/api,the scope catalog has not diverged from apps/api,apps/crm/tests/configuracoes-comum.test.ts:146,0,no,,,proposed,codex2,
crm-symbol-35962223,crm,3,symbol,ErroDoCrm,CrmError,apps/crm/src/app/error.tsx:24,1,no,,,proposed,codex2,
crm-symbol-db96fe5b,crm,3,symbol,desqualificarEmMassa,desqualificarInBulk,apps/crm/src/app/leads/acoes.ts:58,3,no,,,proposed,codex2,
crm-ts-prop-e28f89be,crm,3,ts-prop,conversa,conversation,apps/crm/src/lib/leads-visao.ts:21,1270,no,,,proposed,codex2,
crm-ts-prop-c1a4a653,crm,3,ts-prop,nomesDosMembros,membersNames,apps/crm/src/lib/configuracoes-comum.ts:278,2,no,,,proposed,codex2,
crm-front-route-34d9114c,crm,3,front-route,/oportunidades,/opportunities,apps/crm/src/app/oportunidades/page.tsx,9,no,,,proposed,codex2,
crm-ts-prop-fc5f8749,crm,3,ts-prop,valorData,valueData,apps/crm/semente/semente-crm.ts:937,5,no,,,proposed,codex2,
crm-dir-a4f85cbf,crm,3,dir,apps/crm/src/app/contatos,apps/crm/src/app/contacts,apps/crm/src/app/contatos,0,no,,,proposed,codex2,
crm-test-title-c061f5dc,crm,3,test-title,"a coluna fixa nunca é ocultada, nem que alguém edite o armazenamento","the pinned column is never hidden, even if someone edits storage directly",apps/crm/tests/colunas.test.ts:27,0,no,,,proposed,codex2,
crm-ts-local-ea0c9bc3,crm,3,ts-local,opcoes,options,apps/crm/src/componentes/celula-inline.tsx:58,157,no,,,proposed,codex2,
crm-symbol-76fb6473,crm,3,symbol,urlDeEntradaComGoogle,inboundWithGoogleUrl,apps/crm/src/lib/sessao.ts:160,15,no,,,proposed,codex2,
crm-ts-local-838cb1ef,crm,3,ts-local,valor,value,apps/crm/src/lib/formato.ts:26,1656,no,,,proposed,codex2,
crm-ts-prop-88540dbc,crm,3,ts-prop,secoes,sections,apps/crm/src/componentes/configuracoes/cabecalho.tsx:26,37,no,,,proposed,codex2,
crm-symbol-1bfd769a,crm,3,symbol,membros,members,apps/crm/src/lib/configuracoes-dados.ts:557,128,no,,,proposed,codex2,
crm-symbol-b9d38642,crm,3,symbol,valor,value,apps/crm/src/lib/funil.ts:80,1656,no,,,proposed,codex2,
crm-literal-value-39454999,crm,3,literal-value,selecao_unica,KEEP,apps/crm/semente/semente-crm.ts:287,6,unknown,,,proposed,codex2,"glossary-exception: persisted classification unresolved (01-08), deferred to STD-06"
crm-ts-prop-99e1453a,crm,3,ts-prop,aoRestaurar,toRestore,apps/crm/src/componentes/colunas.tsx:172,6,no,,,proposed,codex2,
crm-ts-prop-4a7ab609,crm,3,ts-prop,contagem,count,apps/crm/src/componentes/ficha.tsx:121,134,no,,,proposed,codex2,
crm-symbol-a50a9460,crm,3,symbol,grupos,groups,apps/crm/src/app/leads/page.tsx:61,85,no,,,proposed,codex2,
crm-ts-prop-46017620,crm,3,ts-prop,permissoes,permissions,apps/crm/src/lib/configuracoes-dados.ts:505,149,no,,,proposed,codex2,
crm-ts-local-d00a5e52,crm,3,ts-local,chave,key,apps/crm/src/lib/leads-visao.ts:219,1153,no,,,proposed,codex2,
crm-ts-local-69d5e4a3,crm,3,ts-local,busca,search,apps/crm/src/lib/contas.ts:32,420,no,,,proposed,codex2,
crm-ts-local-c1b1a7d1,crm,3,ts-local,dados,data,apps/crm/src/app/configuracoes/acoes.ts:189,669,no,,,proposed,codex2,
crm-ts-local-e2588bba,crm,3,ts-local,coluna,column,apps/crm/src/componentes/colunas.tsx:145,520,no,,,proposed,codex2,
crm-ts-local-10463ca6,crm,3,ts-local,valor,value,apps/crm/src/componentes/configuracoes/formulario.tsx:80,1656,no,,,proposed,codex2,
crm-symbol-4414ecf5,crm,3,symbol,contatos,contacts,apps/crm/src/lib/contas.ts:159,438,no,,,proposed,codex2,
crm-symbol-2fc5eb12,crm,3,symbol,filas,queues,apps/crm/src/lib/leads.ts:272,297,no,,,proposed,codex2,
crm-ts-local-06d1fbc9,crm,3,ts-local,valor,value,apps/crm/src/lib/campos-editaveis.ts:56,1656,no,,,proposed,codex2,
crm-symbol-ade66e67,crm,3,symbol,SecaoAtributos,SectionAtributos,apps/crm/src/componentes/ficha.tsx:169,7,no,,,proposed,codex2,
crm-symbol-0aa27796,crm,3,symbol,bloco,block,apps/crm/tests/configuracoes-comum.test.ts:141,665,no,,,proposed,codex2,
crm-ts-prop-f7b6c95f,crm,3,ts-prop,valor,value,apps/crm/src/lib/leads.ts:371,1656,no,,,proposed,codex2,
crm-ts-local-6d03e4ee,crm,3,ts-local,valor,value,apps/crm/src/lib/campos-editaveis.ts:37,1656,no,,,proposed,codex2,
crm-ts-local-3a6197ce,crm,3,ts-local,valor,value,apps/crm/src/lib/leads.ts:248,1656,no,,,proposed,codex2,
crm-symbol-07f97397,crm,3,symbol,contatos,contacts,apps/crm/src/lib/contas.ts:79,438,no,,,proposed,codex2,
crm-symbol-dcd2ab2e,crm,3,symbol,valor,value,apps/crm/src/app/configuracoes/acoes.ts:58,1656,no,,,proposed,codex2,
crm-symbol-85cd584e,crm,3,symbol,busca,search,apps/crm/src/app/oportunidades/page.tsx:96,420,no,,,proposed,codex2,
crm-ts-local-5cc9473a,crm,3,ts-local,chave,key,apps/crm/src/lib/leads-visao.ts:241,1153,no,,,proposed,codex2,
crm-ts-prop-24343910,crm,3,ts-prop,ligacao,connection,apps/crm/src/lib/leads-visao.ts:18,23,no,,,proposed,codex2,
crm-ts-local-f82848d2,crm,3,ts-local,dados,data,apps/crm/src/app/entrar/acoes.ts:25,669,no,,,proposed,codex2,
crm-ts-local-efd90ba7,crm,3,ts-local,dados,data,apps/crm/src/app/configuracoes/acoes.ts:70,669,no,,,proposed,codex2,
crm-literal-value-4205a833,crm,3,literal-value,oportunidade,KEEP,apps/crm/src/lib/busca.ts:80,69,unknown,,,proposed,codex2,"glossary-exception: persisted classification unresolved (01-08), deferred to STD-06"
crm-ts-prop-816635d4,crm,3,ts-prop,membros,members,apps/crm/src/lib/configuracoes-comum.ts:267,128,no,,,proposed,codex2,
crm-ts-prop-bfafed8c,crm,3,ts-prop,valor,value,apps/crm/src/lib/funil.ts:154,1656,no,,,proposed,codex2,
crm-ts-local-6f76bb86,crm,3,ts-local,chave,key,apps/crm/src/lib/leads-visao.ts:232,1153,no,,,proposed,codex2,
crm-ts-prop-898498a8,crm,3,ts-prop,valor,value,apps/crm/src/componentes/configuracoes/formulario.tsx:185,1656,no,,,proposed,codex2,
crm-ts-local-38090c98,crm,3,ts-local,coluna,column,apps/crm/src/componentes/colunas.tsx:169,520,no,,,proposed,codex2,
crm-ts-local-a78388a4,crm,3,ts-local,dados,data,apps/crm/src/app/configuracoes/acoes.ts:173,669,no,,,proposed,codex2,
crm-file-5d202dec,crm,3,file,contas.ts,apps/crm/src/lib/accounts.ts,apps/crm/src/lib/contas.ts,2,no,,,proposed,codex2,
