id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
CORE-001,core,1,symbol,ErroPipe,PipeError,packages/core/src/erros.ts:1,,no,,D-05,approved,sonnet,
CORE-002,core,1,symbol,NaoExiste,Missing,packages/core/src/ausente.ts:1,,no,,,proposed,sonnet,
MOVE-001,core,1,dir,packages/core/src/metricas,packages/core/src/metrics,,,no,,,approved,sonnet,
MOVE-002,core,1,file,packages/core/src/erros.ts,packages/core/src/errors.ts,,,no,,,approved,sonnet,
MOVE-003,core,1,file,apps/api/src/uso.ts,apps/api/src/usage.ts,,,no,,,approved,sonnet,
MOVE-004,core,1,file,apps/front/src/lib/ajuda.ts,apps/front/src/lib/helper.ts,,,no,,,approved,sonnet,
MOVE-005,core,1,file,apps/api/src/Caso.ts,apps/api/src/caso.ts,,,no,,,approved,sonnet,
LIT-001,core,1,subpath-export,@mini/core/metricas,@mini/core/metrics,,,no,,,approved,sonnet,
LIT-002,core,1,endpoint,/v1/conversas/:id/mensagens,/v1/conversations/:id/messages,,apps/api/src/contracts.ts,no,,,approved,sonnet,
LIT-003,core,1,test-title,faz uma coisa,does a thing,,apps/api/src/contracts.ts,no,,,approved,sonnet,
LIT-004,core,1,queue,pipe-entrada,pipe-input,,apps/api/src/contracts.ts,no,,,approved,sonnet,
LIT-005,core,1,wire-key,contatoId,contactId,,apps/api/src/contracts.ts,no,,,approved,sonnet,
LIT-006,core,1,literal-value,aberto,open,apps/api/src/contracts.ts:30,,no,,,approved,sonnet,
